,0
0,173
1,1800
2,351
3,297
4,1005
5,1011
6,309
7,199
8,110
9,2516
10,120
11,145
12,1511
13,1500
14,2514
15,1044
16,167
17,530
18,213
19,267
20,1181
21,340
22,354
23,364
24,490
25,2735
26,2635
27,2027
28,2588
29,2599
30,2536
31,2179
32,2704
33,2723
34,2207
35,2493
36,2577
37,2637
38,2552
39,2502
40,168
41,1281
42,2356
43,378
44,172
45,2483
46,2277
47,2562
48,1289
49,2715
50,1825
51,2308
52,2689
53,2585
54,2681
55,263
56,276
57,457
58,2263
59,2106
60,2765
61,2655
62,886
63,2739
64,2550
65,2538
66,2634
67,2419
68,2334
69,2529
70,2077
71,63
72,2558
73,536
74,2095
75,280
76,2330
77,2184
78,2363
79,389
80,2686
81,2132
82,2520
83,1544
84,2353
85,466
86,2203
87,2595
88,2597
89,230
90,578
91,360
92,2082
93,361
94,227
95,2528
96,2023
97,310
98,2701
99,401
100,59
101,1866
102,388
103,2332
104,1417
105,211
106,2323
107,2249
108,597
109,1792
110,2169
111,2586
112,1569
113,835
114,2150
115,2480
116,171
117,2315
118,157
119,1915
120,2440
121,2316
122,2312
123,721
124,2426
125,2035
126,1563
127,2368
128,2031
129,2137
130,2114
131,1980
132,2140
133,2618
134,1466
135,657
136,195
137,934
138,1351
139,2062
140,1296
141,484
142,2580
143,254
144,2141
145,1976
146,2519
147,1886
148,2553
149,333
150,2018
151,371
152,1788
153,2401
154,2503
155,1958
156,284
157,2633
158,2189
159,2541
160,2767
161,2108
162,1678
163,2187
164,1681
165,2499
166,390
167,534
168,214
169,1892
170,1921
171,632
172,2130
173,1918
174,619
175,605
176,20
177,1545
178,2299
179,2642
180,1940
181,2720
182,1293
183,2534
184,2620
185,1732
186,241
187,2196
188,124
189,189
190,218
191,2163
192,1676
193,2602
194,861
195,714
196,1172
197,1167
198,2071
199,1967
200,1614
201,356
202,1661
203,2050
204,1900
205,1912
206,1620
207,1839
208,1636
209,2311
210,2098
211,2254
212,2407
213,2763
214,1713
215,2055
216,2125
217,1669
218,2006
219,1819
220,2185
221,582
222,1127
223,303
224,1343
225,939
226,2170
227,2682
228,1188
229,1757
230,2671
231,2245
232,2183
233,2560
234,49
235,1983
236,2129
237,1984
238,1763
239,2484
240,2167
241,2397
242,2300
243,1316
244,1953
245,1132
246,1833
247,2641
248,1508
249,2120
250,2623
251,1231
252,1695
253,2584
254,2049
255,1858
256,2214
257,2138
258,275
259,1330
260,1064
261,2194
262,2103
263,1760
264,1969
265,1783
266,2072
267,1948
268,2527
269,418
270,137
271,2621
272,1864
273,164
274,1809
275,2564
276,1543
277,2093
278,2025
279,1223
280,2450
281,2309
282,2718
283,323
284,986
285,75
286,283
287,2611
288,2373
289,2165
290,2005
291,2079
292,2246
293,175
294,2295
295,2089
296,1893
297,2180
298,285
299,2253
300,510
301,298
302,2364
303,2601
304,1626
305,261
306,1232
307,205
308,1592
309,366
310,2383
311,2065
312,1675
313,1402
314,2505
315,2251
316,513
317,2224
318,270
319,2250
320,257
321,1705
322,506
323,118
324,1697
325,2733
326,1570
327,1470
328,1877
329,372
330,2030
331,687
332,1456
333,2391
334,2603
335,564
336,1885
337,2230
338,713
339,1124
340,2294
341,1687
342,2574
343,2497
344,2162
345,132
346,1164
347,2296
348,853
349,1566
350,2766
351,1890
352,2236
353,1996
354,2405
355,1711
356,1943
357,495
358,238
359,57
360,2193
361,2317
362,2045
363,429
364,2500
365,2625
366,1258
367,299
368,1682
369,1184
370,1647
371,1002
372,2726
373,1716
374,404
375,784
376,2630
377,1416
378,1795
379,1756
380,1970
381,1729
382,65
383,1518
384,2402
385,2624
386,2252
387,1964
388,2430
389,350
390,2724
391,2022
392,1303
393,1990
394,1476
395,2604
396,286
397,2205
398,1889
399,249
400,1898
401,2727
402,1733
403,1236
404,2325
405,2744
406,2117
407,2278
408,2573
409,2531
410,376
411,1744
412,1725
413,537
414,246
415,247
416,2029
417,1838
418,1202
419,2638
420,1621
421,1724
422,2358
423,2523
424,1837
425,223
426,2261
427,2088
428,2202
429,1688
430,253
431,2301
432,1286
433,2475
434,135
435,768
436,2476
437,2102
438,2436
439,1439
440,2111
