,0
0,735
1,894
2,721
3,145
4,87
5,385
6,867
7,617
8,967
9,129
10,382
11,329
12,943
13,825
14,402
15,401
16,836
17,552
18,904
19,692
20,34
21,299
22,687
23,79
24,913
25,225
26,592
27,522
28,551
29,545
30,587
31,812
32,355
33,707
34,930
35,619
36,403
37,386
38,94
39,702
40,406
41,425
42,246
43,420
44,463
45,131
46,114
47,388
48,304
49,951
50,50
51,255
52,68
53,269
54,956
55,473
56,97
57,714
58,338
59,250
60,72
61,655
62,500
63,379
64,935
65,366
66,398
67,554
68,73
69,243
70,153
71,798
72,204
73,509
74,887
75,212
76,288
77,58
78,959
79,498
80,984
81,348
82,426
83,323
84,526
85,549
86,983
87,507
88,578
89,654
90,958
91,704
92,923
93,900
94,161
95,240
96,777
97,528
98,881
99,530
100,328
101,883
102,546
103,482
104,568
105,315
106,884
107,583
108,728
109,822
110,996
111,283
112,838
113,291
114,933
115,502
116,557
117,523
118,130
119,169
120,837
121,543
122,104
123,754
124,536
125,517
126,698
127,293
128,925
129,732
130,740
131,194
132,716
133,758
134,54
135,853
136,946
137,848
138,657
139,399
140,540
141,310
142,961
143,159
144,378
145,541
146,292
147,242
148,666
149,239
150,780
151,317
152,755
153,220
154,627
155,561
156,599
157,847
158,106
159,703
160,390
161,461
162,761
163,357
164,794
165,797
166,932
167,278
168,603
169,650
170,637
171,686
172,428
173,456
174,618
175,632
176,756
177,642
178,908
179,331
180,681
181,569
182,845
183,841
184,631
185,525
186,312
187,860
188,238
189,712
190,393
191,751
192,762
193,113
194,521
195,431
196,575
197,296
198,189
199,520
200,258
201,18
202,548
203,407
204,453
205,363
206,24
207,652
208,562
209,176
210,747
211,460
212,577
213,616
214,580
215,65
216,720
217,898
218,185
219,892
220,36
221,765
222,806
223,602
224,873
225,80
226,494
227,673
228,234
229,439
230,597
231,906
232,970
233,181
234,273
235,516
236,570
237,977
238,846
239,992
240,374
241,429
242,733
243,182
244,512
245,807
246,656
247,784
248,596
249,405
250,768
251,926
252,71
253,411
254,228
255,499
256,433
257,808
258,741
259,820
260,722
261,653
262,939
263,341
264,759
265,513
266,347
267,186
268,64
269,586
270,648
271,219
272,778
273,43
274,332
275,649
276,447
277,823
278,636
279,752
280,645
281,679
282,467
283,478
284,275
285,695
286,127
287,907
288,826
289,723
290,82
291,19
292,272
293,647
294,400
295,481
296,941
297,993
298,786
299,256
300,277
301,588
302,412
303,311
304,582
305,128
306,584
307,742
308,86
309,20
310,880
311,320
312,430
313,696
314,474
315,356
316,763
317,982
318,101
319,199
320,769
321,700
322,501
323,139
324,612
325,595
326,891
327,640
328,547
329,668
330,950
331,615
332,282
333,995
334,604
335,427
336,744
337,74
338,701
339,28
340,410
341,77
342,709
343,973
344,455
345,510
346,156
347,991
348,208
349,527
350,209
351,628
352,614
353,694
354,999
355,625
356,831
357,817
358,667
359,915
360,764
361,684
362,436
363,624
364,308
365,879
366,395
367,201
368,676
369,95
370,147
371,856
372,917
373,414
374,84
375,247
376,254
377,938
378,553
379,558
380,774
381,942
382,464
383,88
384,132
385,13
386,793
387,351
388,396
389,944
390,727
391,579
392,936
393,448
394,830
395,369
396,890
397,606
398,173
399,630
400,316
401,609
402,69
403,855
404,408
405,229
406,22
407,839
408,998
409,730
410,979
411,875
412,719
413,339
414,954
415,342
416,175
417,418
418,832
419,726
420,168
421,451
422,324
