,0,1,2,3
0,0,[-1.53226983e+03  3.48387079e+02 -4.47847947e-05  4.42107597e+04],1092,2753.762496503551
1,1,[-1.45278816e+03  3.48387031e+02 -4.58627697e-05  1.23255377e+04],1289,2749.0099147626215
2,2,[-1.56560168e+03  3.48387050e+02 -6.12951065e-05  1.98568374e+04],1401,2754.0903982534865
3,3,[-1.45058251e+03  3.49385835e+02 -4.41088534e-05  1.22938749e+05],1548,2757.4999520663105
4,4,[-1.42345828e+03  3.35372237e+02 -4.35888783e-05  1.98369853e+04],2569,2756.922997285305
5,5,[-1.22136837e+03  3.86427134e+02 -7.39131705e-05  2.46370902e+04],1807,2756.6349429085303
6,6,[-1.37105134e+03  3.54393110e+02 -5.52338864e-05  1.98384816e+04],2699,2753.921749757739
7,7,[-1.60658400e+03  3.21367452e+02 -3.22289284e-05  1.98384827e+04],1808,2756.723298684424
8,8,[-1.34806085e+03  3.43379684e+02 -3.88284632e-05  1.98384816e+04],1586,2756.494161706419
9,9,[-1.36946458e+03  3.48386799e+02 -4.75309532e-05  4.36442177e+03],2591,2754.808438335741
10,10,[-1.57002257e+03  3.48387035e+02 -5.43065515e-05  1.39837855e+04],1298,2756.5198890491106
11,11,[-1.51688671e+03  3.48387050e+02 -5.69595717e-05  1.36581627e+04],1357,2756.2590529260387
12,12,[-1.54585123e+03  3.49387617e+02 -5.19371839e-05  2.74316312e+04],2506,2753.5825920444618
13,13,[-8.80307271e+02  3.90433654e+02 -6.08995522e-05  1.98322869e+04],1351,2755.632314759405
14,14,[-1.61203633e+03  3.40377295e+02 -4.77864876e-05  1.98324551e+04],1465,2756.1215750364777
15,15,[-1.27921659e+03  3.85428011e+02 -7.38815596e-05  1.98322869e+04],1656,2751.233939619393
16,16,[-1.42073933e+03  3.28364093e+02 -4.18651273e-05  1.98322869e+04],933,2745.1413115852324
17,17,[-1.39485240e+03  3.32368972e+02 -4.20903855e-05  1.98322869e+04],2615,2756.1139808805037
18,18,[-1.32799921e+03  3.60400154e+02 -4.81565889e-05  1.98322869e+04],1524,2750.6151323517906
19,19,[-1.41077299e+03  3.36373539e+02 -3.89941768e-05  1.98322869e+04],2340,2758.610977346281
20,20,[-1.25450398e+03  3.80422537e+02 -6.78935440e-05  1.98322871e+04],2092,2754.6159037346815
21,21,[-1.44873594e+03  3.37374529e+02 -4.12291749e-05  1.98322869e+04],1068,2756.9640825861384
22,22,[-1.59156757e+03  3.21363731e+02 -3.40007500e-05  1.98322869e+04],1318,2758.008159757379
