,0
0,427
1,133
2,135
3,136
4,137
5,138
6,139
7,140
8,141
9,142
10,143
11,144
12,145
13,146
14,147
15,148
16,149
17,150
18,151
19,152
20,153
21,154
22,155
23,156
24,157
25,134
26,132
27,159
28,131
29,108
30,109
31,110
32,111
33,112
34,113
35,114
36,115
37,116
38,117
39,118
40,119
41,120
42,121
43,122
44,123
45,124
46,125
47,126
48,127
49,128
50,129
51,130
52,158
53,160
54,426
55,187
56,189
57,190
58,191
59,192
60,193
61,194
62,195
63,196
64,197
65,198
66,199
67,200
68,201
69,202
70,203
71,204
72,205
73,206
74,207
75,208
76,209
77,210
78,211
79,188
80,186
81,161
82,185
83,162
84,163
85,164
86,165
87,166
88,167
89,168
90,169
91,170
92,171
93,172
94,173
95,174
96,175
97,176
98,177
99,178
100,179
101,180
102,181
103,182
104,183
105,184
106,107
107,106
108,105
109,26
110,28
111,29
112,30
113,31
114,32
115,33
116,34
117,35
118,36
119,37
120,38
121,39
122,40
123,41
124,42
125,43
126,44
127,45
128,46
129,47
130,48
131,49
132,50
133,27
134,25
135,104
136,24
137,1
138,2
139,3
140,4
141,5
142,6
143,7
144,8
145,9
146,10
147,11
148,12
149,13
150,14
151,15
152,16
153,17
154,18
155,19
156,20
157,21
158,22
159,23
160,51
161,52
162,53
163,54
164,81
165,82
166,83
167,84
168,85
169,86
170,87
171,88
172,89
173,90
174,91
175,92
176,93
177,94
178,95
179,96
180,97
181,98
182,99
183,100
184,101
185,102
186,103
187,80
188,79
189,78
190,65
191,55
192,56
193,57
194,58
195,59
196,60
197,61
198,62
199,63
200,64
201,66
202,77
203,67
204,68
205,69
206,70
207,71
208,72
209,73
210,74
211,75
212,76
213,212
214,213
215,214
216,348
217,350
218,351
219,352
220,353
221,354
222,355
223,356
224,357
225,358
226,359
227,360
228,361
229,362
230,363
231,364
232,365
233,366
234,367
235,368
236,369
237,370
238,371
239,372
240,349
241,347
242,321
243,346
244,323
245,324
246,325
247,326
248,327
249,328
250,329
251,330
252,331
253,332
254,333
255,334
256,335
257,336
258,337
259,338
260,339
261,340
262,341
263,342
264,343
265,344
266,345
267,373
268,374
269,375
270,376
271,403
272,404
273,405
274,406
275,407
276,408
277,409
278,410
279,411
280,412
281,413
282,414
283,415
284,416
285,417
286,418
287,419
288,420
289,421
290,422
291,423
292,424
293,425
294,402
295,401
296,400
297,387
298,377
299,378
300,379
301,380
302,381
303,382
304,383
305,384
306,385
307,386
308,388
309,399
310,389
311,390
312,391
313,392
314,393
315,394
316,395
317,396
318,397
319,398
320,322
321,320
322,215
323,241
324,243
325,244
326,245
327,246
328,247
329,248
330,249
331,250
332,251
333,252
334,253
335,254
336,255
337,256
338,257
339,258
340,259
341,260
342,261
343,262
344,263
345,264
346,265
347,242
348,240
349,319
350,239
351,216
352,217
353,218
354,219
355,220
356,221
357,222
358,223
359,224
360,225
361,226
362,227
363,228
364,229
365,230
366,231
367,232
368,233
369,234
370,235
371,236
372,237
373,238
374,266
375,267
376,268
377,269
378,296
379,297
380,298
381,299
382,300
383,301
384,302
385,303
386,304
387,305
388,306
389,307
390,308
391,309
392,310
393,311
394,312
395,313
396,314
397,315
398,316
399,317
400,318
401,295
402,294
403,293
404,280
405,270
406,271
407,272
408,273
409,274
410,275
411,276
412,277
413,278
414,279
415,281
416,292
417,282
418,283
419,284
420,285
421,286
422,287
423,288
424,289
425,290
426,291
427,0
