,0
0,658
1,651
2,54
3,41
4,58
5,636
6,82
7,345
8,171
9,670
10,644
11,97
12,804
13,567
14,503
15,453
16,616
17,407
18,630
19,25
20,542
21,65
22,141
23,688
24,86
25,853
26,112
27,311
28,228
29,96
30,250
31,18
32,269
33,92
34,673
35,665
36,85
37,230
38,523
39,515
40,271
41,266
42,248
43,508
44,642
45,675
46,267
47,109
48,149
49,216
50,110
51,9
52,464
53,233
54,201
55,664
56,686
57,136
58,194
59,224
60,569
61,195
62,564
63,146
64,545
65,178
66,164
67,48
68,124
69,11
70,125
71,90
72,683
73,104
74,67
75,152
76,113
77,207
78,237
79,179
80,655
81,162
82,221
83,546
84,264
85,69
86,425
87,42
88,461
89,384
90,122
91,315
92,865
93,181
94,601
95,75
96,672
97,654
98,145
99,229
100,883
101,133
102,73
103,663
104,302
105,139
106,640
107,176
108,340
109,165
110,682
111,622
112,225
113,458
114,405
115,257
116,256
117,14
118,310
119,557
120,64
121,83
122,28
123,117
124,206
125,536
126,55
127,236
128,244
129,234
130,186
131,184
132,368
133,249
134,29
135,33
136,539
137,161
138,185
139,220
140,527
141,36
142,218
143,251
144,677
145,559
146,169
147,596
148,783
149,15
150,5
151,579
152,3
153,203
154,498
155,79
156,631
157,460
158,263
159,454
160,166
161,88
162,142
163,435
164,516
165,167
166,77
167,423
168,78
169,180
170,383
171,847
172,235
173,119
174,370
175,191
176,127
177,128
178,495
179,428
180,431
181,377
182,595
183,84
184,524
185,534
186,190
187,99
188,57
189,98
190,24
191,200
192,585
193,204
194,849
195,876
196,513
197,422
198,253
199,789
200,376
201,801
202,174
203,618
204,301
205,456
206,463
207,348
208,30
209,541
210,120
211,510
212,260
213,49
214,80
215,296
216,333
217,286
218,669
219,827
220,635
221,381
222,529
223,254
224,694
225,243
226,156
227,805
228,788
229,816
230,52
231,291
232,137
233,537
234,295
235,825
236,277
237,480
238,390
239,831
240,111
241,578
242,646
243,401
244,550
245,154
246,135
247,493
248,323
249,31
250,183
251,238
252,130
253,859
254,81
255,602
256,589
257,357
258,20
259,511
260,160
261,47
262,854
263,433
264,700
265,143
266,144
267,105
268,350
269,172
270,189
271,796
272,785
273,768
274,303
275,114
276,258
277,641
278,471
279,208
280,222
281,115
282,241
283,828
284,851
285,835
286,0
287,108
288,608
289,410
290,692
291,487
292,848
293,843
294,76
295,138
296,232
297,440
298,490
299,252
300,566
301,129
302,46
303,645
304,272
305,657
306,438
307,261
308,38
309,684
310,418
311,37
312,51
313,530
314,446
315,472
316,102
317,652
318,811
319,12
320,844
321,415
322,318
323,447
324,398
325,817
326,173
327,505
328,299
329,481
330,121
331,300
332,32
333,308
334,307
335,187
336,494
337,227
338,799
339,402
340,35
341,678
342,613
343,869
344,819
345,467
346,769
347,16
348,40
349,305
350,793
351,62
352,205
353,71
354,577
355,412
356,549
357,61
358,795
359,543
360,807
361,89
362,215
363,469
364,540
365,621
366,588
367,763
368,877
369,386
370,775
371,276
372,361
373,826
374,363
375,556
376,34
377,131
378,373
379,147
380,633
381,442
382,544
383,867
384,246
385,329
386,427
387,437
388,337
389,27
390,4
391,749
392,430
393,582
394,743
395,517
396,289
397,888
398,217
399,211
400,685
401,210
402,580
403,242
404,679
405,202
406,39
407,886
408,255
409,219
410,45
411,586
412,188
413,478
414,823
415,571
416,107
417,56
418,213
419,449
420,591
421,619
422,606
423,158
424,594
425,573
426,565
427,554
428,862
429,584
430,66
431,593
432,259
433,168
434,650
435,1
436,533
437,612
438,74
439,13
440,150
441,140
442,432
443,101
444,787
445,590
446,607
447,375
448,457
449,499
450,597
451,504
452,502
453,514
454,100
455,50
456,625
457,483
458,262
459,226
460,648
461,575
462,485
463,638
464,477
465,538
466,123
467,26
468,674
469,371
470,214
471,553
472,59
473,118
474,551
475,599
476,196
477,666
478,560
479,134
480,450
481,2
482,175
483,592
484,687
485,497
486,198
487,212
488,632
489,94
490,60
491,153
492,151
493,239
494,491
495,197
496,103
497,521
498,290
499,871
500,555
501,17
502,19
503,639
504,558
505,245
506,570
507,667
508,634
509,91
510,598
