,0
0,782
1,615
2,807
3,103
4,364
5,186
6,626
7,68
8,6
9,506
10,285
11,616
12,747
13,712
14,161
15,771
16,755
17,361
18,625
19,582
20,551
21,296
22,609
23,401
24,804
25,322
26,677
27,277
28,672
29,321
30,736
31,497
32,493
33,315
34,339
35,371
36,765
37,155
38,187
39,803
40,236
41,465
42,784
43,269
44,44
45,608
46,190
47,133
48,512
49,90
50,333
51,46
52,461
53,675
54,520
55,518
56,36
57,728
58,369
59,774
60,165
61,762
62,463
63,350
64,593
65,2
66,310
67,489
68,52
69,487
70,266
71,664
72,486
73,427
74,268
75,793
76,147
77,640
78,234
79,225
80,336
81,643
82,572
83,488
84,634
85,441
86,748
87,300
88,208
89,281
90,410
91,50
92,59
93,526
94,417
95,101
96,411
97,312
98,13
99,530
100,773
101,798
102,730
103,152
104,553
105,603
106,418
107,432
108,211
109,47
110,532
111,527
112,440
113,535
114,620
115,135
116,163
117,574
118,764
119,772
120,325
121,424
122,24
123,666
124,279
125,805
126,484
127,67
128,447
129,42
130,707
131,231
132,529
133,678
134,109
135,618
136,332
137,558
138,293
139,297
140,306
141,604
142,476
143,788
144,26
145,715
146,267
147,255
148,649
149,311
150,607
151,448
152,566
153,294
154,149
155,617
156,720
157,393
158,248
159,45
160,308
161,303
162,648
163,454
164,61
165,468
166,584
167,352
168,714
169,619
170,358
171,286
172,669
173,499
174,323
175,337
176,721
177,778
178,710
179,299
180,630
181,767
182,320
183,590
184,775
185,756
186,482
187,629
188,490
189,659
190,263
191,318
192,787
193,450
194,695
195,783
196,478
197,569
198,7
199,41
200,158
201,88
202,718
203,160
204,191
205,11
206,492
207,549
208,183
209,202
210,596
211,681
212,776
213,114
214,314
215,591
216,12
217,510
218,576
219,738
220,519
221,71
222,396
223,692
224,21
225,539
226,717
227,523
228,223
229,216
230,35
231,668
232,241
233,579
234,169
235,725
236,434
237,373
238,627
239,254
240,460
241,734
242,343
243,636
244,381
245,480
246,166
247,473
248,491
249,808
250,82
251,329
252,746
253,412
254,105
255,146
256,416
257,30
258,360
259,199
260,639
261,330
262,229
263,307
264,567
265,682
266,388
267,789
268,533
269,453
270,156
271,691
272,399
273,531
274,430
275,797
276,43
277,622
278,198
279,606
280,354
281,560
282,472
283,349
