,0
0,425
1,349
2,393
3,662
4,748
5,661
6,472
7,506
8,747
9,364
10,701
11,556
12,382
13,616
14,689
15,551
16,611
17,66
18,559
19,313
20,658
21,149
22,340
23,383
24,453
25,494
26,343
27,360
28,623
29,480
30,524
31,239
32,428
33,517
34,647
35,355
36,541
37,601
38,716
39,366
40,909
41,326
42,769
43,188
44,376
45,536
46,301
47,424
48,500
49,323
50,732
51,626
52,160
53,475
54,538
55,540
56,635
57,348
58,303
59,679
60,688
61,709
62,547
63,734
64,639
65,38
66,846
67,367
68,484
69,636
70,52
71,1
72,135
73,531
74,597
75,733
76,396
77,454
78,286
79,456
80,543
81,342
82,154
83,655
84,704
85,72
86,622
87,159
88,740
89,196
90,545
91,686
92,916
93,407
94,762
95,656
96,20
97,606
98,660
99,568
100,666
101,682
102,495
103,35
104,32
105,711
106,534
107,317
108,915
109,643
110,299
111,320
112,260
113,729
114,200
115,265
116,743
117,468
118,232
119,89
120,252
121,33
122,687
123,198
124,25
125,519
126,63
127,128
128,133
129,820
130,694
131,483
132,457
133,125
134,856
135,765
136,187
137,134
138,338
139,786
140,300
141,749
142,397
143,410
144,488
145,516
146,557
147,728
148,114
149,569
150,423
151,195
152,332
153,155
154,165
155,738
156,378
157,746
158,297
159,271
160,79
161,183
162,893
163,737
164,618
165,434
166,293
167,532
168,576
169,508
170,142
171,502
172,477
173,522
174,97
175,829
176,462
177,752
178,147
179,80
180,511
181,184
182,859
183,837
184,652
185,356
186,31
187,49
188,100
189,761
190,763
191,553
192,322
193,315
194,510
195,525
196,19
197,680
198,651
199,370
200,112
201,269
202,413
203,189
204,883
205,485
206,405
207,518
208,373
209,920
210,415
211,560
212,563
213,681
214,358
215,537
216,334
217,427
218,304
219,665
220,445
221,45
222,408
223,703
224,470
225,369
226,267
227,274
228,123
229,174
230,275
231,527
232,411
233,235
234,327
235,744
236,617
237,673
238,771
239,486
240,272
241,43
242,56
243,157
244,103
245,561
246,654
247,605
248,721
249,379
250,161
251,217
252,675
253,773
254,691
255,790
256,294
257,731
258,751
259,62
260,684
261,712
262,735
263,137
264,209
265,775
266,528
267,838
268,417
269,141
270,279
271,69
272,670
273,202
274,319
275,667
276,782
277,843
278,344
279,788
280,706
281,844
282,240
283,61
284,587
285,736
286,171
287,180
288,498
289,868
290,7
291,50
292,554
293,169
294,375
295,390
296,535
297,759
298,36
299,571
300,692
301,254
302,582
303,678
304,59
305,216
306,282
307,324
308,758
309,392
310,830
311,351
312,722
313,214
314,693
315,115
316,233
317,718
318,381
319,631
320,677
321,878
322,439
323,204
324,753
325,55
326,715
327,515
328,705
329,281
330,391
331,593
332,523
333,497
334,181
335,663
336,395
337,458
338,723
339,117
340,127
341,719
342,619
343,263
344,621
345,608
346,353
347,873
348,283
349,109
350,501
351,779
352,253
353,512
354,18
355,598
356,191
357,430
358,442
359,469
360,347
361,460
362,387
363,129
364,266
365,227
366,420
367,318
368,613
369,787
370,94
371,416
372,570
373,421
374,739
375,564
376,337
377,529
378,578
379,441
380,496
381,630
382,503
383,866
384,144
385,579
386,179
387,482
388,220
389,444
390,562
391,572
392,669
393,589
394,609
395,784
396,78
397,163
398,674
399,168
400,76
401,708
402,296
403,201
404,384
405,610
406,612
407,122
408,148
409,231
410,590
411,221
412,34
413,644
414,766
415,287
416,432
417,250
418,309
419,900
420,577
421,574
422,504
423,607
424,664
425,354
426,757
427,226
428,676
429,118
430,40
431,815
432,341
433,398
434,139
435,192
436,730
437,30
438,22
439,70
440,203
441,39
442,102
443,321
444,285
445,872
446,767
447,73
448,291
449,213
450,419
451,377
452,386
453,629
454,509
455,389
456,28
457,58
458,374
