,0,1,2,3
0,0,[-2.31720956e+03  3.38376449e+02 -2.92142681e-03 -1.31641694e+07],593,782.6580615734134
1,1,[-2.19846859e+03  3.40378609e+02 -2.45917126e-03 -1.31641694e+07],449,781.5381246272617
2,2,[-3.95828384e+03  3.27363788e+02 -9.16360224e-03 -1.31641694e+07],600,782.7826650438541
3,3,[-3.57130929e+03  3.29365978e+02 -6.85722030e-03 -1.31641694e+07],451,785.3205364962657
4,4,[-2.13643348e+03  3.40378433e+02 -2.50782212e-03 -1.31641694e+07],167,787.5118122546363
5,5,[-2.07654579e+03  3.39377151e+02 -2.68744894e-03 -1.31641694e+07],488,788.679071268638
6,6,[-3.10921118e+03  3.30367106e+02 -5.95496079e-03 -1.31641694e+07],503,789.0925766105304
7,7,[-2.74028715e+03  3.32369412e+02 -5.13682206e-03 -1.31641694e+07],340,788.2926947738985
8,8,[-2.20566673e+03  3.39377702e+02 -2.84407535e-03 -1.31641694e+07],489,787.3093606574877
9,9,[-3.42622217e+03  3.28364876e+02 -7.23368816e-03 -1.31641694e+07],168,784.9054524497329
10,10,[-1.90439356e+03  3.42380689e+02 -2.32745709e-03 -1.31641694e+07],19,784.0646556725688
11,11,[-2.09210517e+03  3.40378420e+02 -2.62488707e-03 -1.31641694e+07],751,784.5408631667722
12,12,[-3.16883404e+03  3.29366168e+02 -7.32533932e-03 -1.31641694e+07],333,785.4337698015714
13,13,[-2.22384528e+03  3.37375106e+02 -3.15594311e-03 -1.31641694e+07],516,783.6278775350632
14,14,[-3.25776365e+03  3.30367163e+02 -5.61620227e-03 -1.31641694e+07],598,783.9933206613389
15,15,[-1.71116602e+03  3.44383010e+02 -2.06922451e-03 -1.31641694e+07],363,787.5679925844386
16,16,[-2.07564727e+03  3.40378814e+02 -2.73210547e-03 -1.31641694e+07],769,788.17322164746
17,17,[-3.40667309e+03  3.28364972e+02 -7.05099242e-03 -1.31641694e+07],391,787.0639222026404
18,18,[-2.78584398e+03  3.32369321e+02 -4.90584852e-03 -1.31641694e+07],502,789.7022299987602
19,19,[-2.39309823e+03  3.36374353e+02 -3.36519775e-03 -1.31641694e+07],86,789.8926505787585
20,20,[-2.12275782e+03  3.40378666e+02 -2.58516874e-03 -1.31641694e+07],362,787.6943333930305
21,21,[-1.89462085e+03  3.40378783e+02 -2.49049041e-03 -1.31641694e+07],332,785.7304063250206
