,0
0,423
1,901
2,769
3,681
4,576
5,41
6,839
7,986
8,910
9,916
10,855
11,1027
12,932
13,763
14,960
15,555
16,718
17,625
18,882
19,825
20,562
21,654
22,808
23,906
24,1062
25,546
26,616
27,691
28,490
29,284
30,412
31,30
32,478
33,14
34,593
35,723
36,1003
37,110
38,634
39,783
40,11
41,73
42,350
43,395
44,341
45,241
46,260
47,192
48,185
49,90
50,160
51,944
52,256
53,171
54,121
55,1060
56,1026
57,1073
58,977
59,924
60,556
61,896
62,698
63,572
64,670
65,519
66,843
67,892
68,959
69,853
70,648
71,591
72,754
73,453
74,978
75,642
76,632
77,799
78,419
79,1034
80,438
81,68
82,939
83,481
84,915
85,684
86,92
87,365
88,209
89,12
90,117
91,469
92,475
93,322
94,17
95,138
96,305
97,208
98,517
99,59
100,291
101,47
102,804
103,461
104,375
105,308
106,486
107,54
108,289
109,444
110,114
111,159
112,234
113,48
114,430
115,455
116,487
117,218
118,51
119,102
120,499
121,72
122,500
123,141
124,331
125,62
126,318
127,1
128,462
129,28
130,987
131,398
132,871
133,972
134,1010
135,497
136,153
137,480
138,367
139,688
140,411
141,240
142,108
143,120
144,628
145,44
146,527
147,683
148,535
149,379
150,784
151,617
152,374
153,142
154,1049
155,277
156,549
157,983
158,997
159,468
160,432
161,156
162,247
163,993
164,953
165,85
166,866
167,188
168,823
169,327
170,24
171,201
172,869
173,746
174,93
175,833
176,749
177,1019
178,1050
179,186
180,242
181,27
182,65
183,985
184,298
185,1006
186,134
187,99
188,37
189,518
190,1042
191,786
192,71
193,552
194,1012
195,118
196,489
197,319
198,1007
199,649
200,551
201,557
202,607
203,538
204,810
205,391
206,259
207,76
208,996
209,174
210,206
211,15
212,95
213,908
214,1046
215,942
216,501
217,835
218,466
219,152
220,836
221,878
222,976
223,615
224,255
225,133
226,731
227,1040
228,471
229,13
230,705
231,181
232,1029
233,1061
234,504
235,653
236,1047
237,579
238,271
239,819
240,722
241,965
242,281
243,875
244,856
245,175
246,772
247,20
248,818
249,522
250,766
251,104
252,1011
253,168
254,911
255,692
256,338
257,503
258,598
259,636
260,914
261,645
262,610
263,396
264,736
265,880
266,521
267,215
268,925
269,397
270,23
271,495
272,509
273,876
274,399
275,917
276,982
277,233
278,789
279,440
280,19
281,16
282,292
283,608
284,163
285,532
286,1002
287,98
288,314
289,687
290,231
291,544
292,278
293,1048
294,383
295,729
296,883
297,739
298,1021
299,236
300,734
301,1038
302,639
303,116
304,872
305,316
306,655
307,1069
308,947
309,767
310,333
311,716
312,321
313,363
314,2
315,263
316,1023
317,800
318,575
319,86
320,376
321,123
322,979
323,507
324,145
325,67
326,931
327,49
328,207
329,582
330,96
331,349
332,210
333,282
334,427
335,459
336,89
337,938
338,457
339,204
340,837
341,721
342,248
343,605
344,227
345,286
346,107
347,984
348,157
349,547
350,934
351,777
352,511
353,335
354,561
355,364
356,525
357,304
358,543
359,952
360,904
361,587
362,91
363,143
364,451
365,311
366,128
367,196
368,801
369,58
370,312
371,265
372,235
373,672
374,699
375,77
376,677
377,643
378,838
