,0,1,2,3
0,0,[ 1.66444677e+04  2.93757386e+02 -4.11650547e-03  1.34478635e-01],1028,2104.47834839601
1,1,[ 1.62625282e+04  2.93478569e+02 -3.80467858e-03  1.37225589e-01],1044,2084.711006157429
2,2,[ 1.65826785e+04  2.93870358e+02 -4.42012379e-03  1.34807397e-01],1053,2104.2065418959783
3,3,[ 1.64571335e+04  2.93249031e+02 -3.95849901e-03  1.35576348e-01],866,2093.927101165025
4,4,[ 1.64707356e+04  2.93592270e+02 -4.19589395e-03  1.35977076e-01],716,2099.3797301903305
5,5,[ 1.23019886e+04  3.07341526e+02 -3.52724733e-03 -1.33232329e+04],1054,2099.426476402981
6,6,[-1.15894860e+03  3.61401615e+02 -1.42953682e-02 -7.66671347e+05],682,2101.513944472961
7,7,[-1.22409770e+03  3.40379918e+02 -2.88052522e-02 -2.30164453e+02],1059,2062.4598051993185
8,8,[-9.07065932e+02  3.48389796e+02 -7.36582114e-03 -1.63097747e+03],557,2073.3468718921113
9,9,[-5.49174332e+02  3.40390745e+02 -1.01541942e-02 -7.31891727e+02],599,2089.4563900972266
10,10,[-1.19933690e+03  3.63407236e+02 -2.17925655e-03 -1.00425906e+03],1350,2095.0532447011437
11,11,[-1.22901590e+03  3.78421700e+02 -1.13843167e-03 -5.01996603e+02],914,2088.8605560311803
12,12,[-1.24208985e+03  3.60401653e+02 -2.17288844e-03 -8.66094300e+02],942,2087.991391126013
13,13,[-1.09366610e+03  3.44383196e+02 -9.51968065e-03 -3.13411272e+03],748,2102.555119411363
14,14,[-1.23774007e+03  3.44383454e+02 -1.37074243e-02 -1.53148278e+03],930,2104.538594578807
15,15,[-1.32092109e+02  3.25348443e+02 -1.42701286e-01 -7.35040364e+02],980,2100.636489560928
16,16,[-1.12495530e+03  3.43382146e+02 -1.30347641e-02 -8.09291100e+03],658,2103.0077818618392
17,17,[-1.20526279e+03  3.46385089e+02 -1.26351590e-02 -2.56126925e+03],874,2099.2210781838185
18,18,[-1.13132161e+03  3.46386833e+02 -7.13374743e-03 -9.42745907e+02],916,2082.7427907122246
19,19,[-9.73881355e+02  3.63159428e+02 -1.14006279e-04  1.91669871e+07],689,2092.8999286557964
20,20,[ 3.28906315e+03  3.12020980e+02 -3.47164024e-02  1.65272038e+04],1071,2099.3401346020805
21,21,[-9.39493706e+02  3.15350712e+02 -5.24846233e-05  1.70700179e+04],275,2090.5596837663174
22,22,[ 2.47518196e+03  3.14500765e+02 -6.28866083e-02  1.70289017e+04],1031,2086.0990970797625
23,23,[ 2.75028601e+03  3.12684232e+02 -4.31003095e-02  1.70368013e+04],799,2077.8178826106832
24,24,[-9.76672269e+02  3.50388766e+02 -1.01441726e-04  1.70366172e+04],865,2100.422615952888
25,25,[-9.86298715e+02  3.55394889e+02 -9.69237724e-05  1.70366050e+04],856,2085.698949738279
26,26,[ 1.07367859e+04  2.98900306e+02 -7.66070692e-03  1.70366172e+04],850,2073.70625409344
27,27,[ 1.14215844e+04  3.01360971e+02 -5.81125886e-03  1.67631738e+04],879,2078.4961559062253
28,28,[-3.06046728e+03  3.15350598e+02 -3.50761382e-03  1.70363654e+04],592,2104.930207092603
29,29,[ 1.11429655e+04  2.98440109e+02 -6.79851094e-03  1.71536432e+04],1022,2091.057143446078
30,30,[ 1.16490193e+04  2.98810800e+02 -5.42770345e-03  1.66781987e+04],1123,2101.9945827547285
31,31,[-9.88600170e+02  3.55393780e+02 -9.52545702e-05  1.70361442e+04],1039,2084.726153251221
32,32,[ 3.93958478e+03  3.10551752e+02 -2.93262961e-02  1.70360282e+04],586,2096.2229624840543
33,33,[ 1.13249479e+04  3.00764434e+02 -5.77319581e-03  1.70361441e+04],917,2077.983909513602
34,34,[ 1.01631943e+04  2.91323607e+02 -1.90678219e-03  1.70349305e+04],1040,2105.0904869956903
35,35,[ 1.12422891e+04  3.01272683e+02 -6.13026369e-03  1.70361430e+04],229,2077.9668967749417
36,36,[ 1.10590284e+04  3.00474150e+02 -5.87911636e-03  1.70361430e+04],1064,2093.295045348214
37,37,[ 1.09446469e+04  2.99316045e+02 -6.54182660e-03  1.68726880e+04],581,2101.214397939144
38,38,[ 2.36411941e+03  3.14402339e+02 -3.05773785e-02  1.70083341e+04],1033,2105.263853820698
39,39,[-9.73233429e+02  3.53391848e+02 -9.46726416e-05  1.70359686e+04],963,2087.9667298138893
40,40,[ 1.10228254e+04  3.01152575e+02 -6.15599707e-03  1.70359686e+04],957,2073.1920969396083
41,41,[ 1.08836633e+04  3.00828091e+02 -5.96905965e-03  1.70499194e+04],661,2078.0704504146324
42,42,[ 1.09300004e+04  3.00527060e+02 -6.38786311e-03  1.70387207e+04],791,2083.3877815250003
43,43,[ 1.16323476e+04  2.99332495e+02 -4.58280599e-03  1.91034139e+04],872,2073.6126677616535
44,44,[-1.69513149e+03  3.35372634e+02 -6.09629520e-05  1.70378609e+04],308,2002.3153114319282
45,45,[ 1.09299284e+04  3.00692452e+02 -6.29716319e-03  1.70378599e+04],469,2086.991721426924
46,46,[-9.70370710e+02  3.59399216e+02 -1.07777871e-04  1.70378273e+04],1333,2065.4650828948047
47,47,[ 1.11761038e+04  2.99104580e+02 -6.14103585e-03  1.70384851e+04],1121,2101.0738924388593
48,48,[ 1.13806011e+04  2.98331162e+02 -5.53414020e-03  1.71609878e+04],693,2090.3518350775535
49,49,[-9.85139522e+02  3.44382392e+02 -2.94368607e-03  1.70379716e+04],1111,2092.7511200941244
50,50,[ 8.71886877e+02  3.24360248e+02 -1.14734486e-02  1.70379706e+04],385,1916.8639366471443
51,51,[ 1.15935498e+04  2.98331297e+02 -5.34255699e-03  8.52432683e+03],1357,2043.0490827741655
52,52,[-1.20598911e+03  3.15350582e+02 -5.07521042e-05  1.72677253e+04],605,1948.4459598897158
53,53,[-1.11258655e+03  3.15350645e+02 -6.85498623e-05  1.72026211e+04],1009,1817.956504017293
54,54,[-8.46527671e+02  3.48386859e+02 -1.08720781e-02  1.70306701e+04],1011,2039.37733023861
55,55,[ 2.75296067e+03  3.12773552e+02 -8.06170735e-02  1.70268833e+04],185,1925.3711149601681
56,56,[ 3.57094270e+03  3.11221681e+02 -3.20939429e-02  1.70307944e+04],538,1996.0927053071446
57,57,[-9.87533403e+02  3.57396744e+02 -9.84694134e-05  1.70306669e+04],773,2072.072096529583
58,58,[-6.41371468e+02  3.51386190e+02 -9.84238765e-05  1.70306669e+04],844,2060.974812217029
59,59,[ 1.14518620e+04  3.07341504e+02 -3.04331545e-03 -2.12654524e+04],750,2084.880693574909
60,60,[-8.25418975e+02  3.47385943e+02 -1.01733064e-04  1.70406941e+04],741,2072.301071470712
61,61,[ 1.15542707e+04  2.93325890e+02 -3.10333898e-03  2.44505099e+04],141,2074.405528454879
62,62,[-8.74792755e+02  3.42380101e+02 -1.10417112e-04  1.70062335e+04],546,2085.5877833190616
