,0
0,1603
1,537
2,527
3,528
4,529
5,530
6,531
7,532
8,533
9,534
10,535
11,536
12,538
13,600
14,539
15,540
16,541
17,542
18,543
19,544
20,545
21,546
22,547
23,548
24,526
25,525
26,524
27,523
28,502
29,503
30,504
31,505
32,506
33,507
34,508
35,509
36,510
37,511
38,512
39,513
40,514
41,515
42,516
43,517
44,518
45,519
46,520
47,521
48,522
49,549
50,550
51,551
52,576
53,578
54,579
55,580
56,581
57,582
58,583
59,584
60,585
61,586
62,587
63,588
64,589
65,590
66,591
67,592
68,593
69,594
70,595
71,596
72,597
73,598
74,577
75,575
76,552
77,574
78,553
79,554
80,555
81,556
82,557
83,558
84,559
85,560
86,561
87,562
88,563
89,564
90,565
91,566
92,567
93,568
94,569
95,570
96,571
97,572
98,573
99,501
100,500
101,499
102,425
103,427
104,428
105,429
106,430
107,431
108,432
109,433
110,434
111,435
112,436
113,437
114,438
115,439
116,440
117,441
118,442
119,443
120,444
121,445
122,446
123,447
124,426
125,424
126,449
127,423
128,402
129,403
130,404
131,405
132,406
133,407
134,408
135,409
136,410
137,411
138,412
139,413
140,414
141,415
142,416
143,417
144,418
145,419
146,420
147,421
148,422
149,448
150,450
151,498
152,475
153,477
154,478
155,479
156,480
157,481
158,482
159,483
160,484
161,485
162,486
163,487
164,488
165,489
166,490
167,491
168,492
169,493
170,494
171,495
172,496
173,497
174,476
175,474
176,451
177,473
178,452
179,453
180,454
181,455
182,456
183,457
184,458
185,459
186,460
187,461
188,462
189,463
190,464
191,465
192,466
193,467
194,468
195,469
196,470
197,471
198,472
199,599
200,601
201,1602
202,738
203,728
204,729
205,730
206,731
207,732
208,733
209,734
210,735
211,736
212,737
213,739
214,602
215,740
216,741
217,742
218,743
219,744
220,745
221,746
222,747
223,748
224,749
225,727
226,726
227,725
228,724
229,703
230,704
231,705
232,706
233,707
234,708
235,709
236,710
237,711
238,712
239,713
240,714
241,715
242,716
243,717
244,718
245,719
246,720
247,721
248,722
249,723
250,750
251,751
252,752
253,777
254,779
255,780
256,781
257,782
258,783
259,784
260,785
261,786
262,787
263,788
264,789
265,790
266,791
267,792
268,793
269,794
270,795
271,796
272,797
273,798
274,799
275,778
276,776
277,753
278,775
279,754
280,755
281,756
282,757
283,758
284,759
285,760
286,761
287,762
288,763
289,764
290,765
291,766
292,767
293,768
294,769
295,770
296,771
297,772
298,773
299,774
300,702
301,701
302,700
303,626
304,628
305,629
306,630
307,631
308,632
309,633
310,634
311,635
312,636
313,637
314,638
315,639
316,640
317,641
318,642
319,643
320,644
321,645
322,646
323,647
324,648
325,627
326,625
327,650
328,624
329,603
330,604
331,605
332,606
333,607
334,608
335,609
336,610
337,611
338,612
339,613
340,614
341,615
342,616
343,617
344,618
345,619
346,620
347,621
348,622
349,623
350,649
351,651
352,699
353,676
354,678
355,679
356,680
357,681
358,682
359,683
360,684
361,685
362,686
363,687
364,688
365,689
366,690
367,691
368,692
369,693
370,694
371,695
372,696
373,697
374,698
375,677
376,675
377,652
378,674
379,653
380,654
381,655
382,656
383,657
384,658
385,659
386,660
387,661
388,662
389,663
390,664
391,665
392,666
393,667
394,668
395,669
396,670
397,671
398,672
399,673
400,401
401,400
402,399
403,136
404,126
405,127
406,128
407,129
408,130
409,131
410,132
411,133
412,134
413,135
414,137
415,398
416,138
417,139
418,140
419,141
420,142
421,143
422,144
423,145
424,146
425,147
426,125
427,124
428,123
429,122
430,101
431,102
432,103
433,104
434,105
435,106
436,107
437,108
438,109
439,110
440,111
441,112
442,113
443,114
444,115
445,116
446,117
447,118
448,119
449,120
450,121
451,148
452,149
453,150
454,175
455,177
456,178
457,179
458,180
459,181
460,182
461,183
462,184
463,185
464,186
465,187
466,188
467,189
468,190
469,191
470,192
471,193
472,194
473,195
474,196
475,197
476,176
477,174
478,151
479,173
480,152
481,153
482,154
483,155
484,156
485,157
486,158
487,159
488,160
489,161
490,162
491,163
492,164
493,165
494,166
495,167
496,168
497,169
498,170
499,171
500,172
501,100
502,99
503,98
504,24
505,26
506,27
507,28
508,29
509,30
510,31
511,32
512,33
513,34
514,35
515,36
516,37
517,38
518,39
519,40
520,41
521,42
522,43
523,44
524,45
525,46
526,25
527,23
528,48
529,22
530,1
531,2
532,3
533,4
534,5
535,6
536,7
537,8
538,9
539,10
540,11
541,12
542,13
543,14
544,15
545,16
546,17
547,18
