,0,1,2,3
0,0,"[-1.01513188e+03  3.76610018e+01 -1.22760358e-03  9.66735774e-02
 -3.06984392e+05  1.22479256e+02 -1.63628411e-03  4.74587821e-04
  2.91397737e+05  1.16957730e+02 -1.46485047e-03  2.33097052e-02
  1.62909761e+04  3.44686656e+01 -1.10739136e-02 -3.34190078e+00
 -1.59233346e+04  3.43848486e+01 -1.11873659e-02 -4.10625283e+00]",261,1026.5416638517033
1,1,[-3.89750999e+03  3.14309801e+02 -3.78436138e-03  8.23837633e-01],202,1028.3474436235767
2,2,[-2.91231933e+03  3.14732319e+02 -1.45395479e-03  1.05520237e+00],260,1024.4617327238186
3,3,[-2.47608711e+03  3.14873422e+02 -8.55794694e-04  1.20384793e+00],214,996.183989011328
4,4,[-3.50211306e+03  3.14771003e+02 -1.76284335e-03  8.90057426e-01],190,1003.9689253425133
5,5,[-3.26721281e+03  3.14503298e+02 -1.85843251e-03  9.13442884e-01],51,1018.8652150399986
6,6,[-3.39084756e+03  3.14472171e+02 -1.79338360e-03  9.26162822e-01],185,1032.624072091925
7,7,[-3.68228548e+03  3.14976053e+02 -3.60471833e-03  7.92341139e-01],600,1032.697090482484
8,8,[-2.82716554e+03  3.15247234e+02 -1.79855426e-03  1.05720282e+00],264,1035.6584398094897
9,9,[-3.82255369e+03  3.14446959e+02 -3.82971163e-03  7.60643082e-01],331,1037.9030166471834
10,10,[-3.42589680e+03  3.15557821e+02 -4.35772719e-03  7.35883464e-01],192,1033.1745311418492
11,11,[-3.86285302e+03  3.15412298e+02 -3.67075600e-03  7.21812897e-01],128,1032.8085667253663
12,12,[-3.58556721e+03  3.14908526e+02 -3.05314539e-03  8.04102679e-01],306,1008.568858443704
13,13,[-3.86818194e+03  3.14659853e+02 -2.63543036e-03  7.64836827e-01],137,1027.2597867944912
14,14,[-3.31619791e+03  3.13962360e+02 -1.91206117e-03  8.87385608e-01],199,1035.615251380361
15,15,[-2.92280556e+03  3.15082265e+02 -2.83662047e-03  1.09808915e+00],193,1033.6201910670595
16,16,[-3.42242005e+03  3.14837239e+02 -2.69258077e-03  9.33749977e-01],643,1038.7086716763845
17,17,[-3.79365583e+03  3.14603973e+02 -3.68082178e-03  7.63088403e-01],376,1038.3733608007233
18,18,[-3.16177792e+03  3.14357680e+02 -2.59756939e-03  1.02938879e+00],221,1037.0863363910155
19,19,[-4.04619467e+03  3.14025619e+02 -4.40574839e-03  7.08213035e-01],382,1032.0569386749066
20,20,[-3.42696188e+03  3.15734407e+02 -3.22516575e-03  9.53819083e-01],33,1036.2810158589161
21,21,[-3.45534334e+03  3.15163360e+02 -3.20621680e-03  8.31123458e-01],126,1038.485944690745
22,22,[-3.64203789e+03  3.14551702e+02 -3.03771631e-03  8.14606960e-01],319,1036.7967791202516
23,23,[-3.29442518e+03  3.14892337e+02 -3.05383743e-03  8.89327054e-01],148,1040.301619460764
24,24,[-3.42642167e+03  3.15280192e+02 -2.37614849e-03  8.37943876e-01],160,1030.8110264467625
25,25,[-3.50661003e+03  3.14202523e+02 -3.78447289e-03  8.09415157e-01],200,1027.9069332092643
26,26,[-3.31457599e+03  3.15269184e+02 -3.02805833e-03  9.92073201e-01],40,1039.3484819838438
27,27,[-3.41854303e+03  3.15386833e+02 -2.39302523e-03  8.82691929e-01],718,1039.9119198334897
28,28,[-3.98767629e+03  3.14723206e+02 -4.31941597e-03  7.61667747e-01],215,1039.81736364595
29,29,[-3.01070250e+03  3.14643249e+02 -2.45464894e-03  1.16023237e+00],88,1036.1833885206836
30,30,[-3.64455994e+03  3.14682383e+02 -2.48788267e-03  8.35990956e-01],163,1038.3375719350643
31,31,[-3.78237517e+03  3.15008464e+02 -4.23560195e-03  7.83503963e-01],393,1036.2256363574188
32,32,[-3.26982439e+03  3.15619863e+02 -3.36083686e-03  8.87298804e-01],686,1038.600160036301
33,33,[-3.32452350e+03  3.14788848e+02 -3.23691870e-03  8.49274393e-01],159,1041.0475875885513
34,34,[-3.49617841e+03  3.14757973e+02 -3.76827805e-03  8.48152780e-01],89,1035.6048191974467
35,35,[-3.10528611e+03  3.15442375e+02 -3.42346451e-03  8.65372726e-01],145,1033.6004748777268
36,36,[-3.45108288e+03  3.14908397e+02 -3.24785626e-03  8.33732534e-01],129,1037.3157041352363
37,37,[-3.65978735e+03  3.14862081e+02 -4.51659981e-03  7.82464673e-01],204,1038.1468048318588
38,38,[-3.51111947e+03  3.15682711e+02 -3.21745503e-03  8.79891467e-01],338,1036.5978154027555
39,39,[-3.52279328e+03  3.14583894e+02 -3.44022326e-03  8.66528778e-01],117,1039.4454008127432
40,40,[-3.57554040e+03  3.15062419e+02 -4.20597660e-03  7.50285617e-01],305,1040.9240084434123
41,41,[-3.22621048e+03  3.15039308e+02 -3.37697227e-03  9.02921669e-01],279,1040.3830021171793
42,42,[-3.64234841e+03  3.15243093e+02 -5.20264838e-03  7.48020412e-01],407,1036.8958150657445
43,43,[-3.12120390e+03  3.15010772e+02 -2.38200898e-03  9.10465138e-01],243,1037.3544843811294
44,44,[-3.73295018e+03  3.15212597e+02 -3.16933362e-03  7.98249448e-01],265,1031.0470793565673
45,45,[-3.28192875e+03  3.15241936e+02 -3.75516050e-03  8.68198386e-01],278,1037.4911952364482
46,46,[-3.35062586e+03  3.15292354e+02 -2.32359187e-03  8.38871650e-01],492,1035.5154403612316
47,47,[-3.58779941e+03  3.14163982e+02 -2.36374536e-03  8.44105052e-01],235,1034.7345576222908
48,48,[-3.26669504e+03  3.14952846e+02 -2.92248665e-03  9.17527499e-01],150,1038.762091131917
49,49,[-3.57852365e+03  3.14718110e+02 -2.98032113e-03  8.18886143e-01],342,1037.543673251907
50,50,[-3.69808978e+03  3.15224472e+02 -4.50082855e-03  7.24486577e-01],158,1036.9654408645613
51,51,[-3.01090265e+03  3.14978193e+02 -3.12785289e-03  9.58773062e-01],186,1041.4921218020263
52,52,[-3.48516781e+03  3.14877485e+02 -3.94775185e-03  8.60313210e-01],120,1036.3343770057184
53,53,[-2.63364408e+03  3.15499856e+02 -1.82661216e-03  1.00590607e+00],216,1037.5681099685376
54,54,[-3.73063079e+03  3.14661247e+02 -3.79133644e-03  7.68118204e-01],209,1037.079804672686
55,55,[-3.43675707e+03  3.14798856e+02 -4.08001496e-03  8.70800111e-01],325,1034.5522898514573
56,56,[-2.66639208e+03  3.15084946e+02 -1.45320598e-03  1.07074978e+00],41,1039.765709007226
57,57,[-3.30202054e+03  3.13986183e+02 -2.26550685e-03  9.70708870e-01],368,1031.32043089717
58,58,[-2.28617032e+03  3.14212734e+02 -7.43459386e-04  1.42309633e+00],211,1036.840249738886
59,59,[-3.35667694e+03  3.14658212e+02 -1.94621308e-03  9.72694613e-01],146,1032.7746518494955
60,60,[-3.38505405e+03  3.15114179e+02 -3.78787829e-03  9.03790531e-01],316,1037.3655655763512
61,61,[-3.12394539e+03  3.15194434e+02 -2.34559546e-03  9.04640348e-01],429,1037.1230880188373
62,62,[-3.54304403e+03  3.14366754e+02 -3.96929022e-03  8.43759633e-01],23,1036.5995544886698
63,63,[-3.00728286e+03  3.15325340e+02 -2.77404757e-03  1.01179767e+00],390,1039.1478555124786
64,64,[-3.50578762e+03  3.14987754e+02 -3.44865875e-03  8.96502939e-01],241,1035.462715281103
65,65,[-3.03863560e+03  3.15173310e+02 -2.73091956e-03  1.01068479e+00],225,1037.512958075002
66,66,[-3.11950705e+03  3.15005694e+02 -2.04439363e-03  9.24430490e-01],169,1035.4564738562162
67,67,[-3.22044974e+03  3.14500147e+02 -2.10499487e-03  9.35769610e-01],702,1037.154753623981
68,68,[-3.04581324e+03  3.14679322e+02 -2.21188454e-03  9.19628458e-01],121,1039.3934189276827
69,69,[-3.65930476e+03  3.14367281e+02 -3.44168788e-03  8.04115631e-01],266,1034.863801681175
70,70,[-3.05923539e+03  3.14989133e+02 -2.88041557e-03  9.33851264e-01],326,1039.639519287186
71,71,[-3.61348160e+03  3.14916300e+02 -3.03658336e-03  8.43541871e-01],322,1037.9698491145941
72,72,[-3.30649674e+03  3.14969227e+02 -1.89662492e-03  9.41699595e-01],579,1032.5642142803647
73,73,[-3.14320083e+03  3.15287146e+02 -2.88137327e-03  9.33995101e-01],528,1038.7014056075748
74,74,[-3.71750940e+03  3.15322510e+02 -3.53427674e-03  8.19327729e-01],336,1031.451214908402
75,75,[-3.42329617e+03  3.15498985e+02 -3.56919078e-03  8.81741500e-01],1036,1037.6546461289126
76,76,[-3.42824738e+03  3.15308620e+02 -3.19009910e-03  8.52951220e-01],660,1039.7308580528284
77,77,[-3.59093811e+03  3.16386524e+02 -3.23302981e-03  8.50365695e-01],109,1020.7537761531463
78,78,[-3.09001382e+03  3.15031799e+02 -2.55121352e-03  9.60448776e-01],317,1039.0798304802722
79,79,[-3.66115072e+03  3.15235247e+02 -3.70841148e-03  7.70928013e-01],372,1016.5053054288092
80,80,[-2.89273530e+03  3.14220460e+02 -1.14706220e-03  1.05178853e+00],410,1002.9945609692588
81,81,[-3.29153960e+03  3.15623744e+02 -2.44149200e-03  9.38072150e-01],431,1005.8518879877249
82,82,[-3.49088985e+03  3.15510049e+02 -2.17909551e-03  8.18467393e-01],1004,1030.2506456154088
83,83,[-3.69201714e+03  3.15068079e+02 -2.68808245e-03  7.93223075e-01],416,1032.4128016008185
84,84,[-3.31989297e+03  3.15512492e+02 -2.52704723e-03  8.74026982e-01],184,1036.0752880593689
85,85,[-3.70248270e+03  3.14612378e+02 -3.13330419e-03  7.69074051e-01],379,1039.919718846219
86,86,[-3.64638741e+03  3.14118301e+02 -3.06439338e-03  8.60244907e-01],149,1035.7724644544053
87,87,[-2.91197575e+03  3.14896721e+02 -2.38070181e-03  1.07202170e+00],692,1036.026244084816
88,88,[-3.54007940e+03  3.14730445e+02 -2.96520089e-03  8.43992403e-01],883,1040.758377462197
89,89,[-3.17326653e+03  3.14557620e+02 -2.92553720e-03  8.88303998e-01],582,1040.63956124611
90,90,[-2.73818075e+03  3.15351913e+02 -1.96961765e-03  1.03611378e+00],282,1030.8504247101537
91,91,[-3.18100748e+03  3.14917674e+02 -2.58771195e-03  8.72844070e-01],300,1038.1856957755072
92,92,[-3.48824686e+03  3.15188263e+02 -3.05253158e-03  8.81533777e-01],85,1036.3094744574328
93,93,[-3.23303122e+03  3.14711349e+02 -2.91726562e-03  9.36407660e-01],27,1037.4723865643145
94,94,[-3.42807342e+03  3.14442018e+02 -2.29320186e-03  8.48434697e-01],594,1039.1156876471778
95,95,[-3.78497937e+03  3.14607394e+02 -4.50870497e-03  7.57993047e-01],143,1035.9731576708277
96,96,[-2.85716443e+03  3.14387346e+02 -6.94828162e-04  1.04497670e+00],804,1019.07283802729
97,97,[-3.96411041e+03  3.14781723e+02 -3.69079181e-03  6.95160834e-01],418,1029.5588612570164
98,98,[-3.40498891e+03  3.15378744e+02 -3.27734178e-03  8.46326162e-01],280,1034.4913123320814
99,99,[-3.15048560e+03  3.14762672e+02 -3.45130933e-03  9.41868091e-01],236,1034.5932410361454
100,100,[-2.95387438e+03  3.15153251e+02 -2.07171218e-03  9.17009063e-01],310,1022.0359728704111
101,101,[-3.62557851e+03  3.14312538e+02 -3.73786777e-03  7.60965477e-01],365,1011.6971599561521
102,102,[-3.36806150e+03  3.14632840e+02 -3.01919855e-03  8.39588265e-01],122,1025.293432231206
103,103,[-2.91411102e+03  3.14839057e+02 -3.32413175e-03  9.10243978e-01],28,995.4547219767652
104,104,[-3.55835277e+03  3.18255111e+02 -3.07653277e-03  7.75789345e-01],800,950.3956057403321
105,105,[-3.63758391e+03  3.15930435e+02 -3.03681799e-03  7.39440718e-01],922,1015.41680045291
106,106,[-2.72275003e+03  3.14493277e+02 -1.62888886e-03  9.53807113e-01],293,1019.858311701682
107,107,[-3.24160195e+03  3.14338016e+02 -2.58864665e-03  8.64523431e-01],56,1007.1768608706158
108,108,[-3.64225066e+03  3.16578194e+02 -4.64634218e-03  6.99363968e-01],694,1017.9941817151602
109,109,[-3.25627752e+03  3.14987774e+02 -3.35654501e-03  8.47690583e-01],474,1040.1605006712387
110,110,[-3.24785209e+03  3.15280173e+02 -2.64124794e-03  8.87055250e-01],157,1034.7961140721077
111,111,[-3.37024568e+03  3.14411878e+02 -3.02724843e-03  8.55289149e-01],76,1035.5878148278086
112,112,[-3.09099120e+03  3.14915697e+02 -3.09246394e-03  9.14039715e-01],206,1030.0087319342442
113,113,[-3.02945630e+03  3.14648146e+02 -1.59819238e-03  9.14752968e-01],687,1035.886050682082
114,114,[-3.17432386e+03  3.15440107e+02 -2.11947200e-03  9.14901516e-01],779,1031.8979481293516
115,115,[-3.06989362e+03  3.14487158e+02 -2.54014037e-03  9.55032103e-01],573,1035.650714807464
116,116,[-3.86593023e+03  3.15280655e+02 -3.65736853e-03  7.63615046e-01],624,1038.1910119685156
117,117,[-3.51698122e+03  3.14994429e+02 -4.31454882e-03  7.43914834e-01],187,1040.570637343616
118,118,[-3.08194886e+03  3.15260549e+02 -3.09469581e-03  9.73651212e-01],252,1038.4586405660064
119,119,[-3.54799905e+03  3.15495579e+02 -3.47419828e-03  7.58989257e-01],124,1038.3443646764529
120,120,[-3.50092825e+03  3.15159824e+02 -3.67251470e-03  8.54075779e-01],167,1040.4170009558652
121,121,[-3.00412336e+03  3.15403279e+02 -2.59502543e-03  9.50586733e-01],680,1040.2330933600795
122,122,[-3.85354503e+03  3.15129718e+02 -5.24575074e-03  6.77130405e-01],451,1039.824646083741
123,123,[-3.15531918e+03  3.15399184e+02 -3.33321340e-03  1.00111379e+00],454,1038.4290710452783
124,124,[-3.46145948e+03  3.14884128e+02 -3.81047649e-03  8.71882919e-01],156,1039.6832867629485
125,125,[-3.72088654e+03  3.15723388e+02 -4.75349611e-03  7.88343050e-01],70,1037.0870605484288
126,126,[-3.38549461e+03  3.15420109e+02 -3.46873895e-03  8.46365774e-01],531,1041.0355472399533
127,127,[-3.66256256e+03  3.14662158e+02 -4.05794381e-03  6.95585364e-01],299,1039.2084441846148
128,128,[-3.54914607e+03  3.15192686e+02 -4.55423896e-03  7.96717401e-01],332,1041.265228257885
129,129,[-2.87396487e+03  3.15557486e+02 -2.48907275e-03  9.58612028e-01],597,1040.6306877361337
130,130,[-3.80675887e+03  3.15066464e+02 -4.11528596e-03  7.49612193e-01],341,1038.780517926269
131,131,[-3.31778516e+03  3.14708314e+02 -3.09254365e-03  8.60315096e-01],734,1036.732131460759
132,132,[-3.17584362e+03  3.15214429e+02 -3.16739596e-03  8.16350814e-01],170,1036.046785234933
133,133,[-3.36968012e+03  3.15545053e+02 -2.95563005e-03  8.79063583e-01],941,1030.3547712557572
134,134,[-3.23053450e+03  3.15568014e+02 -3.44380865e-03  8.91886276e-01],769,1036.7403978888858
135,135,[-3.11226801e+03  3.14222520e+02 -1.65400149e-03  9.25425649e-01],208,1036.264732475558
136,136,[-3.69872676e+03  3.15237906e+02 -4.31610056e-03  7.44524137e-01],350,1039.5269186579387
137,137,[-3.22036056e+03  3.14882058e+02 -3.11564877e-03  9.56640862e-01],154,1041.1913829618356
138,138,[-3.51680960e+03  3.14798145e+02 -2.61050574e-03  7.95057899e-01],863,1039.4374646509643
139,139,[-3.35405212e+03  3.14783512e+02 -3.24850291e-03  8.85295618e-01],136,1038.098236661835
140,140,[-3.27681466e+03  3.15717495e+02 -3.88192209e-03  9.43428649e-01],348,1037.2089740536683
141,141,[-3.66426779e+03  3.15091980e+02 -4.22329200e-03  8.51443023e-01],198,1038.016342444954
142,142,[-2.91359221e+03  3.14856931e+02 -3.08606353e-03  9.51209034e-01],242,1038.2167086317515
143,143,[-3.55579825e+03  3.14980654e+02 -3.69623795e-03  8.02686965e-01],424,1039.8928312725934
144,144,[-3.78261799e+03  3.15202247e+02 -4.80060192e-03  7.46332849e-01],383,1038.2185482282605
145,145,[-3.24337729e+03  3.15372968e+02 -3.45874014e-03  8.97620616e-01],603,1040.6342333064617
146,146,[-3.47920045e+03  3.14546556e+02 -2.66977054e-03  7.69957518e-01],39,1040.356583731393
147,147,[-4.03759171e+03  3.15500480e+02 -5.79551913e-03  6.67503898e-01],172,1038.441209573511
148,148,[-3.06767257e+03  3.15427472e+02 -2.62498754e-03  9.85735997e-01],742,1040.9762735198947
149,149,[-3.73726676e+03  3.14836189e+02 -3.60097011e-03  7.40014347e-01],649,1040.0025501826399
150,150,[-3.20873362e+03  3.14828033e+02 -3.08675273e-03  9.38219480e-01],138,1040.4420881628103
151,151,[-3.27865655e+03  3.14837995e+02 -3.55940916e-03  7.71669168e-01],673,1036.914987146456
152,152,[-3.52179423e+03  3.14607700e+02 -4.13603669e-03  8.91843190e-01],205,1038.7190136480485
153,153,[-3.16317268e+03  3.15577774e+02 -2.93022248e-03  9.26335713e-01],285,1038.818928232591
154,154,[-3.33178817e+03  3.15323382e+02 -2.46799182e-03  8.78221598e-01],426,1039.5373463341862
155,155,[-3.70834808e+03  3.13776987e+02 -3.91152547e-03  7.65426579e-01],417,1035.9698990009674
156,156,[-3.21201390e+03  3.15122538e+02 -2.79527873e-03  9.40075205e-01],292,1039.647899565417
