,0,1,2,3
0,0,[-2.80047074e+03  3.42380458e+02 -4.79626393e-03 -1.31641694e+07],375,964.0908846179996
1,1,[-2.78877904e+03  3.42381174e+02 -4.62937784e-03 -1.31641694e+07],544,963.8312144534586
2,2,[-2.82155884e+03  3.42380445e+02 -4.68439221e-03 -1.31641694e+07],557,962.9647781768281
3,3,[-2.79561391e+03  3.42380540e+02 -5.04078117e-03 -1.31641694e+07],510,963.3118896959362
4,4,[-2.80871737e+03  3.42380695e+02 -5.04447993e-03 -1.31641694e+07],182,963.898301067101
5,5,[-2.78564472e+03  3.42380517e+02 -4.58688275e-03 -1.31641694e+07],307,963.8074960330077
6,6,[-2.77458440e+03  3.42380671e+02 -4.47115446e-03 -1.31641694e+07],467,963.710603199501
7,7,[-2.78828313e+03  3.42380716e+02 -4.58502067e-03 -1.31641694e+07],299,964.0200966342554
8,8,[-2.81185113e+03  3.42380574e+02 -4.67554963e-03 -1.31641694e+07],757,962.6894974155043
9,9,[-2.76358335e+03  3.42380522e+02 -4.32521834e-03 -1.31641694e+07],558,963.7167388027458
10,10,[-2.75976636e+03  3.42380503e+02 -4.22430015e-03 -1.31641694e+07],430,963.0750338268086
11,11,[-2.54652183e+03  3.43381572e+02 -3.94865417e-03 -1.31641694e+07],534,963.0529276531811
12,12,[-2.55298026e+03  3.43381874e+02 -3.94414912e-03 -1.31641694e+07],325,963.1033621674407
13,13,[-2.77118816e+03  3.42380764e+02 -4.60463201e-03 -1.31641694e+07],374,963.938229699841
14,14,[-2.76888246e+03  3.42380565e+02 -4.51933414e-03 -1.31641694e+07],245,963.4795346334936
15,15,[-2.76010997e+03  3.42380452e+02 -4.42010965e-03 -1.31641694e+07],610,963.0019620336114
16,16,[-2.67619013e+03  3.42380538e+02 -3.77036170e-03 -1.31641694e+07],525,962.7244333677185
17,17,[-2.54126493e+03  3.43381707e+02 -3.95591464e-03 -1.31641694e+07],601,962.8569952271246
18,18,[-2.57598126e+03  3.43381692e+02 -4.44818058e-03 -1.31641694e+07],344,963.9447574784971
19,19,[-2.78592465e+03  3.42380672e+02 -4.61074504e-03 -1.31641694e+07],448,964.1806218921322
20,20,[-2.65008433e+03  3.42380533e+02 -3.67955379e-03 -1.31641694e+07],640,962.4012324424826
21,21,[-2.56778619e+03  3.43381878e+02 -4.08519025e-03 -1.31641694e+07],595,963.6908233654066
22,22,[-2.54410673e+03  3.43381592e+02 -4.16811332e-03 -1.31641694e+07],782,962.8631527827766
23,23,[-2.54328024e+03  3.43382049e+02 -4.25987809e-03 -1.31641694e+07],597,961.8329928993812
24,24,[-2.76793102e+03  3.42380612e+02 -5.22654442e-03 -1.31641694e+07],715,963.6735584909509
25,25,[-2.55937180e+03  3.43381636e+02 -4.11658300e-03 -1.31641694e+07],305,962.8656012829074
26,26,[-2.82501692e+03  3.42380553e+02 -5.03288005e-03 -1.31641694e+07],762,964.0622492477696
27,27,[-2.78887265e+03  3.42380925e+02 -4.55364534e-03 -1.31641694e+07],207,962.96254465392
28,28,[-2.55059847e+03  3.43381632e+02 -4.01693718e-03 -1.31641694e+07],756,962.5247017473059
29,29,[-2.78472674e+03  3.42380431e+02 -4.67916311e-03 -1.31641694e+07],498,963.5600388581117
30,30,[-2.67166686e+03  3.42380460e+02 -3.99779834e-03 -1.31641694e+07],615,962.3744729844153
31,31,[-2.79582582e+03  3.42380528e+02 -4.71338014e-03 -1.31641694e+07],511,962.2135291289488
32,32,[-2.74635858e+03  3.42380860e+02 -5.08595331e-03 -1.31641694e+07],429,961.6907007931006
33,33,[-2.77391732e+03  3.42380469e+02 -5.09149266e-03 -1.31641694e+07],409,963.1363290858006
34,34,[-2.77017350e+03  3.42380970e+02 -4.93048017e-03 -1.31641694e+07],746,963.8333164157784
35,35,[-2.56183436e+03  3.43381711e+02 -4.22183981e-03 -1.31641694e+07],284,964.1294984676905
36,36,[-2.56717357e+03  3.43381559e+02 -4.26465579e-03 -1.31641694e+07],418,963.9365829754237
37,37,[-2.55976178e+03  3.43381694e+02 -4.15728340e-03 -1.31641694e+07],223,963.9188352491279
38,38,[-2.58843663e+03  3.43381627e+02 -4.27136880e-03 -1.31641694e+07],345,962.8593165830291
39,39,[-2.57693715e+03  3.43381599e+02 -4.62412115e-03 -1.31641694e+07],613,963.2691285696596
40,40,[-2.94944873e+03  3.41379630e+02 -5.62787633e-03 -1.31641694e+07],695,962.9834344954128
41,41,[-2.78650241e+03  3.42380608e+02 -4.84610031e-03 -1.31641694e+07],759,964.4231279781411
42,42,[-2.78491834e+03  3.42380616e+02 -4.78632962e-03 -1.31641694e+07],612,964.1430220643496
43,43,[-2.80577837e+03  3.42380443e+02 -4.71743266e-03 -1.31641694e+07],362,963.1498346791217
44,44,[-2.54826813e+03  3.43382230e+02 -4.12788118e-03 -1.31641694e+07],366,962.6304430833608
45,45,[-2.71489601e+03  3.42380717e+02 -5.67639292e-03 -1.31641694e+07],526,962.7736808418034
46,46,[-2.70559386e+03  3.42380733e+02 -5.85103662e-03 -1.31641694e+07],635,963.0147262020032
47,47,[-2.54625700e+03  3.43381773e+02 -4.46841535e-03 -1.31641694e+07],456,963.6037960061194
48,48,[-2.57807362e+03  3.43381910e+02 -4.37096763e-03 -1.31641694e+07],492,964.123628943018
49,49,[-2.82612450e+03  3.42380781e+02 -5.07257187e-03 -1.31641694e+07],565,963.7028037010156
50,50,[-2.67264433e+03  3.42380653e+02 -4.36914347e-03 -1.31641694e+07],385,963.1708476036854
51,51,[-2.55748161e+03  3.43381609e+02 -4.12245738e-03 -1.31641694e+07],574,963.5675833937437
52,52,[-2.57708025e+03  3.43381936e+02 -4.16021419e-03 -1.31641694e+07],333,962.4301772046451
53,53,[-2.67038173e+03  3.42380545e+02 -4.18194213e-03 -1.31641694e+07],545,961.8606318798603
54,54,[-2.67781595e+03  3.42380513e+02 -4.16627656e-03 -1.31641694e+07],769,962.6859208514511
55,55,[-2.70237920e+03  3.42380806e+02 -3.98144414e-03 -1.31641694e+07],367,961.0349185274038
56,56,[-2.79793028e+03  3.42380936e+02 -4.65179894e-03 -1.31641694e+07],566,962.275840071938
57,57,[-2.55130281e+03  3.43381574e+02 -4.11138859e-03 -1.31641694e+07],246,962.8244555371834
58,58,[-2.53762122e+03  3.43381574e+02 -4.25453153e-03 -1.31641694e+07],480,962.6273699622662
59,59,[-2.68318339e+03  3.42381180e+02 -5.71879531e-03 -1.31641694e+07],388,962.3933359396485
60,60,[-2.63692113e+03  3.42380567e+02 -5.26865759e-03 -1.31641694e+07],312,962.1694273556438
61,61,[-2.71897902e+03  3.42380497e+02 -6.17541616e-03 -1.31641694e+07],496,961.9372265583676
62,62,[-2.73133934e+03  3.42381112e+02 -5.57889921e-03 -1.31641694e+07],647,964.3281930899368
63,63,[-2.70711462e+03  3.42380428e+02 -5.16973591e-03 -1.31641694e+07],466,964.3701546234589
64,64,[-2.80956240e+03  3.42380445e+02 -5.55227368e-03 -1.31641694e+07],514,962.8751395961219
65,65,[-2.73700484e+03  3.42380578e+02 -5.19021687e-03 -1.31641694e+07],355,962.0317645406677
66,66,[-2.57767100e+03  3.43381984e+02 -4.21258421e-03 -1.31641694e+07],531,962.2030239753758
67,67,[-2.59358415e+03  3.43381738e+02 -4.38463448e-03 -1.31641694e+07],453,961.7416746806581
68,68,[-2.81481438e+03  3.42380530e+02 -4.65856738e-03 -1.31641694e+07],170,962.4803284768475
69,69,[-2.81481827e+03  3.42380881e+02 -4.66036424e-03 -1.31641694e+07],727,961.9970800232794
70,70,[-2.56851573e+03  3.43381656e+02 -4.25888869e-03 -1.31641694e+07],723,963.7266837709043
71,71,[-2.79861966e+03  3.42381125e+02 -4.52840788e-03 -1.31641694e+07],794,963.8859904639518
72,72,[-2.83264425e+03  3.42380494e+02 -4.72915941e-03 -1.31641694e+07],795,963.0761421030695
73,73,[-2.57288193e+03  3.43381674e+02 -4.41028826e-03 -1.31641694e+07],315,962.1861250278221
74,74,[-2.58548936e+03  3.43381921e+02 -4.54812323e-03 -1.31641694e+07],316,963.2690358478384
75,75,[-2.70761942e+03  3.42380752e+02 -5.72243701e-03 -1.31641694e+07],622,963.3038273532826
76,76,[-2.71927800e+03  3.42380469e+02 -6.08724512e-03 -1.31641694e+07],793,962.6721069697464
77,77,[-2.64852679e+03  3.42380581e+02 -4.98488660e-03 -1.31641694e+07],243,963.0582976436822
78,78,[-2.60288326e+03  3.43381967e+02 -4.58308234e-03 -1.31641694e+07],729,964.2494050841732
79,79,[-2.63162875e+03  3.43381665e+02 -4.88425346e-03 -1.31641694e+07],786,963.4584390666546
80,80,[-2.71221480e+03  3.42380471e+02 -4.30778875e-03 -1.31641694e+07],652,961.9006405906474
81,81,[-2.67215625e+03  3.42381072e+02 -4.40983457e-03 -1.31641694e+07],253,962.5892922048685
82,82,[-2.80284093e+03  3.42380733e+02 -4.99687119e-03 -1.31641694e+07],282,963.3855855634822
83,83,[-2.56505910e+03  3.43381542e+02 -4.11659130e-03 -1.31641694e+07],774,962.8861989991402
84,84,[-2.56118528e+03  3.43382058e+02 -4.17704875e-03 -1.31641694e+07],527,963.112627331007
85,85,[-2.56385546e+03  3.43381569e+02 -4.20057573e-03 -1.31641694e+07],373,963.6502268307727
86,86,[-2.54570348e+03  3.43381539e+02 -3.90207406e-03 -1.31641694e+07],636,963.1620655396953
87,87,[-2.82655258e+03  3.42380468e+02 -5.01439464e-03 -1.31641694e+07],411,962.5535986208744
88,88,[-2.57976599e+03  3.43381744e+02 -4.64531559e-03 -1.31641694e+07],542,963.3743956445526
89,89,[-2.64244451e+03  3.42380693e+02 -5.32581482e-03 -1.31641694e+07],142,963.4043317340479
90,90,[-2.71360790e+03  3.42380638e+02 -5.81103141e-03 -1.31641694e+07],324,963.0575384285889
91,91,[-2.55230115e+03  3.43381584e+02 -4.40512580e-03 -1.31641694e+07],655,964.1946106629642
92,92,[-2.60853566e+03  3.43381611e+02 -4.60087604e-03 -1.31641694e+07],434,964.6141334766885
93,93,[-2.60591040e+03  3.43381663e+02 -4.53670364e-03 -1.31641694e+07],554,964.3117963901533
94,94,[-2.61080175e+03  3.43381662e+02 -4.69563108e-03 -1.31641694e+07],650,963.8687827050765
95,95,[-2.58216209e+03  3.43382240e+02 -4.36956514e-03 -1.31641694e+07],528,963.2357866023714
96,96,[-2.69912606e+03  3.42380798e+02 -4.63977952e-03 -1.31641694e+07],141,962.8621396667235
97,97,[-2.55296838e+03  3.43381642e+02 -4.33937277e-03 -1.31641694e+07],497,963.0145662503385
98,98,[-2.56001893e+03  3.43381602e+02 -5.00355210e-03 -1.31641694e+07],770,961.6768082329992
99,99,[-2.37847646e+03  3.44383393e+02 -4.35988711e-03 -1.31641694e+07],504,962.5659976467352
100,100,[-2.38292017e+03  3.44383185e+02 -4.36723495e-03 -1.31641694e+07],476,963.6660289090119
101,101,[-2.36853868e+03  3.44382678e+02 -4.07823877e-03 -1.31641694e+07],439,964.0558581513498
102,102,[-2.57226868e+03  3.43381800e+02 -4.47262140e-03 -1.31641694e+07],602,964.691081677265
103,103,[-2.59674394e+03  3.43381978e+02 -4.59763583e-03 -1.31641694e+07],530,964.7608994100154
104,104,[-2.75834169e+03  3.42380881e+02 -5.26020306e-03 -1.31641694e+07],683,964.4348789692398
105,105,[-2.70020454e+03  3.42380640e+02 -4.52882863e-03 -1.31641694e+07],372,963.8600464149652
106,106,[-2.59288962e+03  3.43381691e+02 -4.45966350e-03 -1.31641694e+07],157,963.8613264679078
107,107,[-2.82981596e+03  3.42380510e+02 -4.81419562e-03 -1.31641694e+07],632,962.761402369295
108,108,[-2.56281102e+03  3.43381616e+02 -4.11047856e-03 -1.31641694e+07],614,963.7120703573262
109,109,[-2.79627758e+03  3.42380583e+02 -4.92975321e-03 -1.31641694e+07],386,964.4199009136836
110,110,[-2.69538435e+03  3.42380631e+02 -4.13308461e-03 -1.31641694e+07],611,963.4889954443454
111,111,[-2.55590884e+03  3.43381795e+02 -4.05166316e-03 -1.31641694e+07],473,963.716588801331
112,112,[-2.57211971e+03  3.43382198e+02 -4.35877355e-03 -1.31641694e+07],645,964.3667354241437
113,113,[-2.53112722e+03  3.43382287e+02 -4.41554519e-03 -1.31641694e+07],397,963.2758889754433
114,114,[-2.65321915e+03  3.42381022e+02 -5.14565983e-03 -1.31641694e+07],670,963.3723659794038
115,115,[-2.69916407e+03  3.42380867e+02 -5.22555638e-03 -1.31641694e+07],356,964.3904025782554
116,116,[-2.75926676e+03  3.42380795e+02 -5.62584331e-03 -1.31641694e+07],208,964.764596415853
117,117,[-2.78693290e+03  3.42381146e+02 -5.73327480e-03 -1.31641694e+07],518,964.757431756518
118,118,[-2.78551742e+03  3.42380712e+02 -5.79381742e-03 -1.31641694e+07],634,964.7702280910408
119,119,[-2.80267309e+03  3.42380848e+02 -6.12629849e-03 -1.31641694e+07],781,963.5487092831347
120,120,[-2.74619762e+03  3.42381121e+02 -5.01886654e-03 -1.31641694e+07],596,963.7342643409811
121,121,[-2.59686476e+03  3.43381722e+02 -4.54391376e-03 -1.31641694e+07],787,963.7879794085563
122,122,[-2.58814246e+03  3.43381842e+02 -4.46879595e-03 -1.31641694e+07],271,963.2441883992788
123,123,[-2.73097195e+03  3.42380535e+02 -4.51087945e-03 -1.31641694e+07],772,963.0819883406654
124,124,[-2.71337439e+03  3.42380578e+02 -4.26489949e-03 -1.31641694e+07],454,962.3920231110667
125,125,[-2.56891809e+03  3.43381598e+02 -4.37203859e-03 -1.31641694e+07],211,963.540807941882
126,126,[-2.54858108e+03  3.43381835e+02 -4.27660880e-03 -1.31641694e+07],559,963.6823349733996
127,127,[-2.64610108e+03  3.42380452e+02 -5.02342443e-03 -1.31641694e+07],536,962.6255930683694
128,128,[-2.67546523e+03  3.42380916e+02 -5.50569966e-03 -1.31641694e+07],535,964.1854923939436
