,0,1,2,3
0,0,[-4.92553559e+03  3.31368306e+02 -6.70592365e-03 -1.31641694e+07],902,1218.8813064868673
1,1,[-4.96813022e+03  3.31368389e+02 -6.83530611e-03 -1.31641694e+07],815,1218.741691690354
2,2,[-5.33168958e+03  3.31368408e+02 -6.32735773e-03 -1.31641694e+07],837,1219.7814579455744
3,3,[-4.81506409e+03  3.31368338e+02 -6.03904875e-03 -1.31641694e+07],697,1220.7394310533284
4,4,[-5.27342938e+03  3.30367145e+02 -6.95506695e-03 -1.31641694e+07],903,1219.5582823993145
5,5,[-5.66053827e+03  3.31368197e+02 -6.82421254e-03 -1.31641694e+07],654,1220.312225431584
6,6,[-5.56415664e+03  3.30367223e+02 -7.09559650e-03 -1.31641694e+07],926,1223.2856799461424
7,7,[-6.60483929e+03  3.29365985e+02 -9.49342979e-03 -1.31641694e+07],720,1222.7892855394778
8,8,[-6.23543647e+03  3.31368260e+02 -7.79799458e-03 -1.31641694e+07],46,1218.7165935931205
9,9,[-5.59138436e+03  3.30367108e+02 -6.67809687e-03 -1.31641694e+07],1051,1217.7511651145069
10,10,[-6.25224640e+03  3.31368193e+02 -8.05815863e-03 -1.31641694e+07],27,1220.643370302216
11,11,[-6.03833146e+03  3.32369366e+02 -8.21552781e-03 -1.31641694e+07],938,1222.4954423470597
12,12,[-6.89820440e+03  3.30367103e+02 -8.28274726e-03 -1.31641694e+07],165,1221.5557188803614
13,13,[-4.92537976e+03  3.31368345e+02 -5.65990103e-03 -1.31641694e+07],814,1216.3132530962762
14,14,[-5.58401775e+03  3.32369421e+02 -7.86341186e-03 -1.31641694e+07],967,1221.1725199858165
15,15,[-5.31502234e+03  3.30367134e+02 -7.39246468e-03 -1.31641694e+07],221,1219.0519483243202
16,16,[-6.64957543e+03  3.31368215e+02 -7.05313058e-03 -1.31641694e+07],181,1217.2693080467313
17,17,[-6.44692890e+03  3.30367114e+02 -8.51738641e-03 -1.31641694e+07],401,1223.7708061211276
18,18,[-6.01176382e+03  3.32369535e+02 -8.23548657e-03 -1.31641694e+07],454,1222.382996122348
19,19,[-6.15357592e+03  3.32369347e+02 -7.11212544e-03 -1.31641694e+07],53,1217.3302682469687
20,20,[-5.56621495e+03  3.30367169e+02 -6.70348363e-03 -1.31641694e+07],88,1219.16961430217
21,21,[-5.40122735e+03  3.30367178e+02 -7.35717379e-03 -1.31641694e+07],821,1221.7424297003647
22,22,[-6.53660490e+03  3.30367107e+02 -7.92039580e-03 -1.31641694e+07],1049,1222.1812449064453
23,23,[-4.83625472e+03  3.32369303e+02 -5.88969147e-03 -1.31641694e+07],966,1221.6063097845386
24,24,[-4.93181966e+03  3.31368440e+02 -6.56841399e-03 -1.31641694e+07],219,1220.2493368162627
25,25,[-6.43522321e+03  3.29366063e+02 -8.78260951e-03 -1.31641694e+07],549,1220.440373364756
26,26,[-5.24204886e+03  3.31368201e+02 -6.14769225e-03 -1.31641694e+07],899,1219.7138765953487
27,27,[-7.05989097e+03  3.29365973e+02 -1.00684040e-02 -1.31641694e+07],923,1225.0675483560663
28,28,[-6.00442655e+03  3.32369465e+02 -8.12399700e-03 -1.31641694e+07],97,1220.754158391118
29,29,[-5.87541104e+03  3.30367169e+02 -6.82201980e-03 -1.31641694e+07],354,1220.668906982262
30,30,[-4.59368355e+03  3.32369364e+02 -5.79680140e-03 -1.31641694e+07],778,1223.3735853753415
31,31,[-6.04805208e+03  3.29365966e+02 -8.65435565e-03 -1.31641694e+07],855,1221.2610984692637
32,32,[-6.70116353e+03  3.31368212e+02 -7.48914425e-03 -1.31641694e+07],1080,1215.1794489808906
33,33,[-5.46999725e+03  3.32369337e+02 -5.85842820e-03 -1.31641694e+07],436,1223.0970690952413
34,34,[-5.37937996e+03  3.30367078e+02 -7.38170077e-03 -1.31641694e+07],342,1218.752373671705
35,35,[-6.99485325e+03  3.31368287e+02 -7.49715833e-03 -1.31641694e+07],104,1217.1568438434103
36,36,[-6.58958612e+03  3.29365992e+02 -7.98495169e-03 -1.31641694e+07],355,1220.4503665086481
37,37,[-6.15128982e+03  3.31368213e+02 -7.92649236e-03 -1.31641694e+07],901,1217.1018434526623
38,38,[-5.34783601e+03  3.31368382e+02 -7.34506698e-03 -1.31641694e+07],927,1220.946680151853
39,39,[-6.48688268e+03  3.31368222e+02 -7.23860091e-03 -1.31641694e+07],550,1221.5512095482302
40,40,[-4.95029383e+03  3.32369466e+02 -6.18518178e-03 -1.31641694e+07],1156,1223.7523598789076
41,41,[-6.52583374e+03  3.29366009e+02 -8.02658003e-03 -1.31641694e+07],538,1220.244890029815
42,42,[-5.19508215e+03  3.31368316e+02 -6.19868449e-03 -1.31641694e+07],628,1222.6064955725722
43,43,[-6.33015380e+03  3.31368211e+02 -8.58999368e-03 -1.31641694e+07],176,1220.7599633367763
44,44,[-6.31419602e+03  3.29366110e+02 -8.50804446e-03 -1.31641694e+07],852,1217.5422452417088
45,45,[-8.27875656e+03  3.30367128e+02 -8.94307691e-03 -1.31641694e+07],611,1217.2680213254685
46,46,[-6.72347895e+03  3.29366114e+02 -1.02431424e-02 -1.31641694e+07],465,1225.156014598376
47,47,[-6.23422124e+03  3.31368213e+02 -8.05030237e-03 -1.31641694e+07],482,1223.4064872726335
48,48,[-4.73053998e+03  3.31368218e+02 -5.70698948e-03 -1.31641694e+07],184,1216.9196066995255
49,49,[-6.43993069e+03  3.29365992e+02 -8.37602417e-03 -1.31641694e+07],959,1222.9611149354598
50,50,[-6.64968190e+03  3.28364868e+02 -9.77489483e-03 -1.31641694e+07],816,1217.743516624294
51,51,[-6.67485785e+03  3.31368194e+02 -7.38702907e-03 -1.31641694e+07],434,1217.8675335778305
52,52,[-6.53404714e+03  3.29366043e+02 -8.06394289e-03 -1.31641694e+07],381,1221.074719693166
53,53,[-5.01807921e+03  3.31368457e+02 -7.13755443e-03 -1.31641694e+07],448,1224.9349637767134
54,54,[-4.22810440e+03  3.33370669e+02 -4.40068969e-03 -1.31641694e+07],213,1217.4362326875962
55,55,[-5.08052229e+03  3.31368249e+02 -5.69686415e-03 -1.31641694e+07],698,1220.683002332977
56,56,[-5.44821704e+03  3.30367095e+02 -7.57498832e-03 -1.31641694e+07],1152,1216.5578883778426
57,57,[-5.51962233e+03  3.32369375e+02 -5.81298095e-03 -1.31641694e+07],182,1218.8235445347104
58,58,[-6.75528289e+03  3.29365991e+02 -9.39483922e-03 -1.31641694e+07],427,1223.0994401139149
59,59,[-5.71038120e+03  3.30367113e+02 -7.52491021e-03 -1.31641694e+07],943,1217.5465258623537
60,60,[-6.19893579e+03  3.32369326e+02 -7.11285453e-03 -1.31641694e+07],254,1214.6476069657592
61,61,[-6.56644659e+03  3.29366028e+02 -8.85773943e-03 -1.31641694e+07],1120,1220.861722799827
62,62,[-6.03579399e+03  3.31368194e+02 -7.68297414e-03 -1.31641694e+07],995,1216.0878488229637
63,63,[-7.39182311e+03  3.28364882e+02 -9.54606139e-03 -1.31641694e+07],185,1214.9532231893172
64,64,[-6.04547399e+03  3.32369316e+02 -7.07393600e-03 -1.31641694e+07],1050,1220.9819225417807
65,65,[-6.10330839e+03  3.29365973e+02 -9.05246312e-03 -1.31641694e+07],278,1222.4993786794785
66,66,[-5.01984082e+03  3.31368195e+02 -5.62705316e-03 -1.31641694e+07],996,1216.1709539454926
67,67,[-5.09458379e+03  3.31368191e+02 -6.14832259e-03 -1.31641694e+07],644,1221.96148935409
68,68,[-6.20303382e+03  3.30367098e+02 -8.10968408e-03 -1.31641694e+07],705,1222.727694408756
69,69,[-6.47293065e+03  3.31368200e+02 -7.36532547e-03 -1.31641694e+07],227,1216.7433984242664
70,70,[-5.13188595e+03  3.31368228e+02 -5.51393187e-03 -1.31641694e+07],301,1218.7793493582674
71,71,[-6.10171934e+03  3.29366021e+02 -8.53763198e-03 -1.31641694e+07],1090,1221.7017374743884
