,0
0,903
1,570
2,972
3,686
4,394
5,846
6,453
7,393
8,856
9,564
10,115
11,530
12,466
13,941
14,342
15,326
16,683
17,754
18,807
19,610
20,924
21,829
22,520
23,349
24,494
25,587
26,661
27,345
28,501
29,353
30,221
31,814
32,210
33,242
34,926
35,852
36,788
37,598
38,884
39,949
40,746
41,397
42,217
43,590
44,889
45,756
46,625
47,172
48,542
49,900
50,340
51,810
52,628
53,699
54,307
55,965
56,860
57,898
58,709
59,368
60,308
61,803
62,284
63,736
64,902
65,244
66,333
67,966
68,149
69,730
70,922
71,415
72,546
73,934
74,450
75,171
76,719
77,837
78,402
79,653
80,49
81,253
82,767
83,235
84,684
85,783
86,255
87,596
88,508
89,111
90,870
91,403
92,602
93,502
94,298
95,565
96,490
97,825
98,574
99,876
100,518
101,916
102,894
103,448
104,687
105,693
106,654
107,845
108,667
109,449
110,407
111,540
112,597
113,452
114,442
115,322
116,766
117,545
118,558
119,338
120,976
121,927
122,604
123,643
124,161
125,763
126,802
127,395
128,973
129,690
130,332
131,776
132,495
133,799
134,123
135,955
136,871
137,827
138,178
139,511
140,772
141,429
142,830
143,434
144,850
145,124
146,689
147,593
148,933
149,547
150,568
151,250
152,915
153,905
154,959
155,780
156,539
157,484
158,904
159,462
160,711
161,910
162,350
163,335
164,627
165,396
166,601
167,921
168,932
169,381
170,527
171,863
172,436
173,301
174,580
175,409
176,726
177,431
178,498
179,760
180,607
181,290
182,666
183,206
184,513
185,382
186,630
187,222
188,874
189,505
190,896
191,300
192,525
193,840
194,435
195,216
196,888
197,384
198,43
199,532
200,294
201,584
202,223
203,768
204,748
205,550
206,377
207,835
208,824
209,660
210,114
211,275
212,177
213,801
214,524
215,563
216,836
217,440
218,828
219,447
220,477
221,292
222,446
223,912
224,465
225,694
226,331
227,774
228,209
229,635
230,758
231,327
232,248
233,519
234,947
235,937
236,743
237,712
238,676
239,951
240,385
241,194
242,521
243,784
244,673
245,582
246,646
247,818
248,929
249,704
250,291
251,256
252,615
253,283
254,608
255,454
256,469
257,358
258,875
259,218
260,725
261,571
262,486
263,723
264,648
265,645
266,816
267,224
268,269
269,557
270,412
271,391
272,769
273,753
274,423
275,913
276,831
277,907
278,734
279,931
280,473
281,344
282,954
283,588
284,325
285,313
286,679
287,893
288,461
289,655
290,324
291,445
292,956
293,752
294,376
295,430
296,644
297,943
298,512
299,182
300,282
301,939
302,155
303,581
304,815
305,806
306,749
307,362
308,531
309,761
310,576
311,207
312,151
313,268
314,288
315,351
316,974
317,718
318,583
319,334
320,792
321,544
322,535
323,657
324,459
325,526
326,398
327,599
328,928
329,187
330,180
331,701
332,400
333,95
334,386
335,79
336,478
337,355
338,744
339,553
340,354
341,277
342,487
343,120
344,708
345,647
346,538
347,159
348,886
349,533
350,562
351,720
352,392
353,759
354,631
355,946
356,914
357,463
358,192
359,770
360,857
361,174
362,460
363,410
364,482
365,728
366,270
367,692
368,670
369,555
370,936
371,885
372,321
373,789
374,901
375,541
376,702
377,963
378,594
379,920
380,323
381,231
382,953
383,695
384,241
385,674
386,811
387,967
388,236
389,681
390,757
391,105
392,672
393,561
394,492
395,765
396,869
397,727
398,668
399,509
400,251
401,639
402,724
403,185
404,198
405,507
406,872
407,186
408,289
409,698
410,373
411,352
412,952
413,226
414,866
415,958
416,503
417,420
418,771
419,762
420,911
421,359
422,311
423,612
424,17
425,387
426,536
427,548
428,93
429,942
430,867
431,797
432,579
433,652
434,276
435,745
436,328
437,883
438,575
439,184
440,662
441,790
442,470
443,938
444,950
445,474
446,812
447,468
448,715
449,262
450,330
451,688
452,348
453,451
454,619
455,306
456,552
457,945
458,861
459,882
460,543
461,471
462,592
463,500
464,343
465,285
466,798
467,191
468,152
469,834
470,104
471,808
472,106
473,408
474,716
475,659
476,427
477,559
478,971
479,44
480,128
481,485
482,232
483,573
484,374
485,909
486,413
487,859
488,589
489,347
490,713
491,855
492,892
493,682
494,401
495,304
496,220
497,522
498,919
499,54
500,609
501,658
502,356
503,278
504,707
505,516
506,778
507,472
508,175
509,263
510,252
511,418
512,964
513,703
514,634
515,309
516,375
517,167
518,572
519,678
520,864
521,731
522,7
523,849
524,329
525,196
526,616
527,968
528,189
529,426
530,160
531,337
532,671
533,399
534,795
535,204
536,496
537,948
538,843
539,140
