,0
0,1032
1,834
2,711
3,46
4,803
5,743
6,432
7,635
8,401
9,925
10,946
11,680
12,56
13,962
14,306
15,165
16,774
17,435
18,412
19,961
20,535
21,181
22,100
23,237
24,243
25,180
26,145
27,891
28,1034
29,697
30,508
31,690
32,146
33,652
34,357
35,735
36,679
37,1085
38,189
39,938
40,89
41,884
42,119
43,691
44,545
45,923
46,928
47,933
48,359
49,988
50,87
51,326
52,144
53,869
54,491
55,1005
56,580
57,804
58,55
59,198
60,170
61,176
62,183
63,776
64,153
65,762
66,934
67,10
68,668
69,1002
70,963
71,333
72,107
73,768
74,875
75,643
76,622
77,628
78,880
79,862
80,58
81,1009
82,93
83,1013
84,924
85,1073
86,1017
87,330
88,943
89,524
90,863
91,1023
92,741
93,334
94,175
95,1057
96,892
97,820
98,854
99,80
100,548
101,964
102,908
103,75
104,947
105,919
106,97
107,845
108,276
109,1039
110,564
111,362
112,461
113,442
114,207
115,213
116,374
117,462
118,266
119,588
120,763
121,952
122,1097
123,708
124,759
125,712
126,396
127,664
128,201
129,65
130,877
131,849
132,608
133,848
134,71
135,843
136,1046
137,716
138,1024
139,704
140,902
141,1003
142,692
143,764
144,663
145,1028
146,955
147,1020
148,616
149,11
150,67
151,767
152,1019
153,859
154,511
155,989
156,72
157,339
158,1016
159,699
160,57
161,758
162,111
163,384
164,1010
165,591
166,150
167,123
168,893
169,1050
170,265
171,1026
172,718
173,1077
174,703
175,805
176,115
177,245
178,831
179,1011
180,1040
181,513
182,916
183,788
184,881
185,595
186,611
187,860
188,949
189,885
190,656
191,21
192,501
193,122
194,948
195,959
196,1056
197,102
198,32
199,800
200,505
201,303
202,861
203,546
204,301
205,152
206,83
207,36
208,660
209,724
210,95
211,103
212,477
213,1036
214,366
215,683
216,1048
217,1007
218,852
219,137
220,8
221,997
222,815
223,732
224,1060
225,41
226,1088
227,397
228,478
229,841
230,565
231,817
232,1021
233,872
234,418
235,47
236,311
237,222
238,615
239,809
240,915
241,939
242,853
243,727
244,940
245,506
246,191
247,298
248,331
249,864
250,1015
251,587
252,737
253,174
254,351
255,158
256,801
257,857
258,309
259,126
260,917
261,765
262,775
263,427
264,739
265,226
266,625
267,918
268,812
269,248
270,1033
271,559
272,868
273,348
274,48
275,998
276,373
277,689
278,897
279,619
280,599
281,349
282,386
283,133
284,905
285,583
286,272
287,736
288,377
289,278
290,23
291,438
292,631
293,1031
294,748
295,554
296,886
297,256
298,184
299,541
300,696
301,813
302,473
303,985
304,188
305,657
306,728
307,221
308,76
309,950
310,392
311,927
312,182
313,321
314,157
315,720
316,1069
317,771
318,415
319,542
320,770
321,751
322,287
323,589
324,889
325,876
326,192
327,470
328,244
329,1083
330,1029
331,466
332,555
333,1096
334,888
335,229
336,307
337,517
338,705
339,509
340,460
341,534
342,84
343,27
344,742
345,121
346,169
347,467
348,614
349,609
350,499
351,40
352,500
353,368
354,960
355,528
356,465
357,44
358,429
359,475
360,390
361,766
362,914
363,794
364,537
365,494
366,890
367,443
368,592
369,279
370,5
371,630
372,88
373,1008
374,177
375,954
376,773
377,434
378,1079
379,464
380,823
381,82
382,430
383,782
384,529
385,996
386,676
387,325
388,277
389,225
390,86
391,510
392,1080
393,572
394,173
395,4
396,550
397,967
398,659
399,621
400,409
401,37
402,1035
403,218
404,332
405,584
406,575
407,779
408,895
409,110
410,336
411,547
412,156
413,419
414,472
415,1092
416,468
417,551
418,328
419,495
420,425
421,855
422,356
423,538
424,335
425,172
426,108
427,369
428,784
429,431
430,850
431,90
432,792
433,316
434,926
435,685
436,414
437,78
438,667
439,361
440,141
441,214
442,343
443,733
444,778
445,149
446,648
447,6
448,604
449,96
450,393
451,161
452,552
453,726
454,579
455,968
456,273
457,951
458,749
459,249
460,858
461,627
462,867
463,921
464,289
465,168
466,493
467,320
468,1045
469,324
470,1025
471,1066
472,456
473,79
474,400
475,489
476,114
477,1087
478,247
479,380
480,238
481,709
482,481
483,135
484,714
485,984
486,267
487,291
488,956
489,476
490,205
491,756
492,874
493,387
494,1067
495,209
496,754
497,729
498,1084
499,454
500,911
501,811
502,901
503,793
504,125
505,28
506,723
507,693
508,38
509,54
510,700
511,568
512,20
513,49
514,750
515,930
516,281
517,865
518,1006
519,752
520,745
521,744
522,1068
523,725
524,909
525,7
526,839
527,796
528,1000
529,488
530,610
531,945
532,405
533,777
534,844
535,620
536,731
537,760
538,740
539,981
540,439
541,1014
542,894
543,713
544,598
545,832
546,644
547,1037
548,1059
549,755
550,747
551,1090
552,929
553,983
