,0
0,312
1,713
2,690
3,723
4,692
5,395
6,142
7,823
8,610
9,259
10,379
11,412
12,378
13,498
14,654
15,376
16,326
17,559
18,731
19,568
20,503
21,332
22,414
23,299
24,698
25,522
26,360
27,382
28,703
29,722
30,314
31,605
32,520
33,697
34,557
35,626
36,308
37,507
38,273
39,634
40,659
41,621
42,464
43,687
44,744
45,489
46,433
47,718
48,575
49,576
50,685
51,681
52,677
53,815
54,324
55,525
56,946
57,586
58,804
59,197
60,709
61,667
62,367
63,274
64,385
65,184
66,661
67,753
68,689
69,288
70,468
71,250
72,316
73,353
74,714
75,185
76,680
77,317
78,463
79,655
80,406
81,400
82,254
83,322
84,695
85,160
86,373
87,452
88,905
89,258
90,334
91,226
92,837
93,277
94,454
95,602
96,832
97,774
98,725
99,331
100,640
101,932
102,295
103,442
104,721
105,545
106,473
107,728
108,841
109,172
110,909
111,710
112,490
113,279
114,393
115,787
116,783
117,901
118,418
119,248
120,644
121,301
122,701
123,579
124,730
125,492
126,372
127,632
128,462
129,898
130,264
131,196
132,455
133,280
134,381
135,351
136,220
137,261
138,408
139,601
140,472
141,271
142,752
143,208
144,340
145,444
146,380
147,368
148,366
149,474
150,734
151,233
152,919
153,441
154,327
155,894
156,871
157,702
158,479
159,437
160,407
161,940
162,636
163,532
164,711
165,287
166,554
167,341
168,539
169,666
170,230
171,443
172,347
173,537
174,694
175,246
176,352
177,171
178,302
179,370
180,548
181,514
182,293
183,419
184,158
185,338
186,954
187,284
188,319
189,834
190,266
191,270
192,551
193,708
194,583
195,515
196,816
197,560
198,577
199,362
200,456
201,639
202,616
203,325
204,223
205,641
206,564
207,318
208,283
209,686
210,581
211,476
212,421
213,839
214,607
215,269
216,648
217,911
218,384
219,558
220,276
221,291
222,658
223,642
224,329
225,416
226,170
227,390
228,792
229,590
230,608
231,95
232,195
233,735
234,657
235,330
236,516
237,263
238,396
239,417
240,459
241,645
242,650
243,256
244,904
245,112
246,344
247,309
248,357
249,625
250,335
251,535
252,737
253,272
254,471
255,546
256,134
257,825
258,96
259,375
260,572
261,216
262,424
263,434
264,505
265,336
266,422
267,887
268,877
269,243
270,241
271,923
272,255
273,895
274,397
275,916
276,209
277,662
278,206
279,342
280,801
281,294
282,289
283,343
284,510
285,135
286,228
287,161
288,673
289,306
290,609
291,574
292,945
293,496
294,745
295,494
296,333
297,951
298,598
299,646
300,533
301,420
302,566
303,929
304,618
305,205
306,501
307,580
308,430
309,151
310,457
311,878
312,300
313,281
314,523
315,328
316,936
317,889
318,392
319,842
320,571
321,556
322,460
323,712
324,540
325,944
326,866
327,500
328,239
329,921
330,436
331,604
332,885
333,502
334,582
335,15
336,173
337,747
338,405
339,543
340,232
341,4
342,446
343,674
344,862
345,789
346,678
347,738
348,613
349,840
350,450
351,719
352,860
353,818
354,828
355,797
356,345
357,831
358,638
359,425
360,105
361,290
362,934
363,786
364,14
365,872
366,506
367,630
368,371
369,458
370,897
371,679
372,770
373,664
374,748
375,565
376,891
377,746
378,635
379,647
380,409
381,914
382,729
383,933
384,700
385,310
386,779
387,800
388,720
389,699
390,475
391,386
392,431
393,552
394,174
395,359
396,508
397,755
398,900
399,706
400,691
401,374
402,861
403,948
404,947
405,491
406,453
407,927
408,669
409,918
410,303
411,899
412,611
413,315
414,553
415,652
416,435
417,926
418,876
419,229
420,683
421,499
422,432
423,749
424,597
425,663
426,928
427,448
428,595
429,805
430,777
431,902
432,567
433,509
434,910
435,518
436,563
437,438
438,519
439,908
440,925
441,810
442,869
443,757
444,445
445,806
446,286
447,820
448,589
449,536
450,782
451,488
452,466
453,207
454,785
455,497
456,321
457,449
458,231
459,544
460,593
461,113
462,245
463,799
464,633
465,758
466,305
467,164
468,922
469,627
470,764
471,917
472,953
473,398
474,835
475,482
476,717
477,868
478,920
479,660
480,534
481,262
482,619
483,773
484,194
485,727
486,249
487,668
488,585
489,166
490,740
491,684
492,863
493,688
494,880
495,426
496,415
497,881
498,596
499,356
500,939
501,651
502,218
503,736
