,0
0,591
1,607
2,552
3,496
4,504
5,432
6,667
7,536
8,500
9,541
10,512
11,617
12,515
13,485
14,453
15,262
16,511
17,612
18,580
19,235
20,340
21,625
22,162
23,256
24,242
25,587
26,319
27,641
28,425
29,686
30,600
31,308
32,167
33,448
34,271
35,578
36,487
37,420
38,466
39,450
40,588
41,525
42,159
43,574
44,603
45,530
46,475
47,506
48,595
49,477
50,417
51,516
52,543
53,476
54,124
55,306
56,546
57,230
58,400
59,461
60,170
61,353
62,621
63,652
64,569
65,128
66,384
67,437
68,505
69,567
70,41
71,326
72,467
73,188
74,354
75,277
76,463
77,329
78,180
79,323
80,316
81,239
82,469
83,181
84,339
85,526
86,499
87,470
88,320
89,134
90,753
91,241
92,464
93,529
94,684
95,351
96,120
97,474
98,346
99,442
100,576
101,266
102,119
103,678
104,559
105,611
106,416
107,550
108,436
109,716
110,349
111,458
112,185
113,258
114,683
115,171
116,324
117,379
118,342
119,577
120,666
121,386
122,690
123,498
124,406
125,545
126,681
127,341
128,462
129,547
130,399
131,657
132,344
133,502
134,237
135,472
136,635
137,566
138,622
139,172
140,447
141,629
142,250
143,336
144,143
145,130
146,602
147,409
148,360
149,575
150,745
151,513
152,732
153,131
154,418
155,633
156,616
157,401
158,297
159,471
160,255
161,524
162,126
163,627
164,560
165,374
166,532
167,583
168,396
169,440
170,368
171,31
172,650
173,372
174,375
175,189
176,367
177,18
178,455
179,733
180,251
181,479
182,573
183,381
184,538
185,523
186,317
187,371
188,522
189,330
190,347
191,763
192,377
193,40
194,423
195,352
196,191
197,554
198,412
199,427
200,539
201,962
202,362
203,334
204,116
205,411
206,408
207,390
208,10
209,553
210,249
211,712
212,508
213,537
214,327
215,565
216,665
217,490
218,335
219,345
220,438
221,155
222,582
223,558
224,244
225,548
226,393
227,358
228,527
229,563
230,662
231,376
232,129
233,445
234,638
235,549
236,713
237,307
238,571
239,444
240,378
241,166
242,677
243,507
244,398
245,557
246,596
247,632
248,840
249,743
250,115
251,243
252,654
253,568
254,997
255,64
256,482
257,501
258,356
259,443
260,248
261,380
262,331
263,214
264,428
265,585
266,555
267,173
268,431
269,676
270,609
271,533
272,430
273,424
274,722
275,766
276,407
277,497
278,705
279,385
280,484
281,78
282,521
283,615
284,152
285,459
286,489
287,488
288,252
289,348
290,419
291,389
292,727
293,589
294,435
295,551
296,758
297,649
298,364
299,337
300,413
301,689
302,645
303,540
304,53
305,452
306,517
307,457
308,651
309,542
310,233
311,88
312,717
313,483
314,751
315,322
316,58
317,735
318,518
319,433
320,140
321,720
322,493
323,917
324,628
325,359
326,426
327,491
328,403
329,81
330,646
331,636
332,624
333,970
334,738
335,535
336,875
337,414
338,441
339,429
340,631
341,473
342,888
343,599
344,872
345,395
346,564
347,682
348,613
349,605
350,593
351,714
352,454
353,495
354,715
355,736
356,383
357,584
358,639
359,449
360,363
361,394
362,510
363,562
364,494
365,201
366,421
367,825
368,669
369,780
370,679
371,531
372,647
373,817
374,556
375,391
376,1004
377,608
378,623
379,949
380,451
381,902
382,909
383,700
384,790
385,355
386,186
387,534
388,644
389,439
390,579
391,671
392,338
393,637
394,1025
395,675
396,1009
397,630
398,606
399,586
400,737
401,711
402,481
403,405
404,207
405,793
406,981
407,72
408,653
409,836
410,370
411,85
412,703
413,289
414,862
415,757
416,1022
417,480
418,938
419,827
420,333
421,778
422,948
423,1030
424,822
425,843
426,590
427,773
428,908
429,911
430,1019
431,410
432,808
433,898
434,670
435,707
436,972
437,366
438,664
439,870
440,1007
441,32
442,674
443,544
444,996
445,989
446,685
447,193
448,1027
449,402
450,281
451,865
452,643
453,853
454,954
455,672
456,702
457,350
458,655
459,76
460,802
461,581
462,779
463,762
464,658
465,332
466,984
467,465
468,708
469,861
470,710
471,701
472,147
473,691
474,829
475,601
476,824
477,456
478,656
479,387
480,48
481,784
482,961
483,422
484,92
485,698
486,821
487,964
488,807
489,831
490,833
491,1003
492,975
493,832
494,819
495,786
496,620
497,889
498,884
499,392
500,769
501,958
502,929
503,1023
504,966
505,998
506,868
507,810
508,1005
509,834
510,932
511,982
512,941
513,1014
514,971
515,782
516,570
517,849
518,986
519,12
520,768
521,648
522,924
523,740
524,760
525,859
526,618
527,696
528,724
529,947
530,1028
531,357
532,886
533,35
534,744
535,988
536,887
537,759
538,830
539,867
540,1026
541,787
542,953
543,878
544,879
545,978
546,1010
547,261
548,774
549,845
550,446
551,931
552,1021
553,503
554,486
555,965
556,956
557,894
558,976
559,839
560,812
561,592
562,950
563,434
564,777
565,704
566,945
567,286
568,1018
569,514
570,660
571,1033
572,942
573,47
574,519
575,828
576,1001
577,813
578,404
579,999
580,877
581,921
582,1031
583,805
584,754
585,626
586,959
587,776
588,913
589,943
590,866
591,197
592,13
593,783
594,903
595,936
596,983
597,460
598,750
599,761
600,985
601,397
602,907
603,693
604,177
605,388
606,795
607,874
608,39
609,659
610,937
611,694
612,899
613,668
614,801
615,37
616,19
617,706
618,1032
619,789
620,939
621,893
622,697
623,680
624,957
625,1008
626,1000
627,799
628,826
629,300
630,1006
631,746
632,1012
633,767
634,904
635,967
636,809
637,619
638,968
639,728
640,800
641,876
642,848
643,841
644,905
645,1013
646,837
647,991
648,863
649,818
650,926
651,695
652,814
653,730
654,572
655,731
656,811
657,719
658,755
659,42
660,492
661,770
662,725
663,955
664,752
665,916
666,816
667,1024
668,718
669,918
670,1029
671,920
672,739
673,709
674,765
675,927
676,756
677,726
678,415
679,796
680,933
681,820
682,699
683,468
684,871
685,43
686,1017
687,855
688,846
689,642
690,869
691,734
692,742
693,797
694,749
695,741
696,995
697,27
698,823
699,842
700,934
701,673
702,952
703,772
704,747
705,604
706,1016
707,794
708,610
709,1020
710,912
711,901
712,748
713,598
714,278
715,687
716,803
717,864
718,858
719,1011
720,775
721,925
722,764
723,597
724,973
725,51
726,990
727,1002
728,873
729,137
730,835
731,915
732,238
733,661
734,729
735,850
736,771
737,318
738,969
739,895
740,614
741,269
742,798
743,247
744,897
745,791
746,634
747,723
748,815
749,788
750,928
751,176
752,892
753,838
754,343
755,977
756,804
757,994
758,993
759,14
760,852
761,257
762,919
763,922
764,882
765,930
766,56
767,275
768,856
769,974
770,851
771,721
772,860
773,253
774,963
775,946
776,885
777,914
778,891
779,847
780,951
781,940
782,854
783,857
784,906
785,688
786,980
787,935
788,792
789,910
790,95
791,640
792,204
793,900
794,663
795,692
796,992
797,240
798,883
799,890
800,144
801,785
802,1
803,979
804,314
805,880
806,192
807,234
808,944
809,1015
810,896
811,101
812,806
813,175
814,923
815,301
816,168
817,203
818,987
819,68
820,288
821,200
822,231
823,165
824,960
825,138
826,373
827,206
828,781
829,509
830,216
831,107
832,102
833,881
834,844
835,328
836,302
837,254
838,369
839,305
840,6
841,299
842,133
843,272
844,293
845,142
846,164
847,325
848,106
849,520
850,285
851,236
852,196
853,594
854,182
855,217
856,132
857,292
858,117
859,160
860,198
861,187
862,50
863,274
864,245
865,54
866,154
867,361
868,146
869,212
870,195
871,528
872,178
873,158
874,296
875,218
876,365
877,295
878,75
879,145
880,561
881,153
882,478
883,44
884,89
885,59
886,122
887,174
888,309
889,151
890,33
891,205
892,298
893,125
894,169
895,290
896,246
897,112
898,199
899,93
900,291
901,211
902,9
903,213
904,127
905,79
906,282
907,139
908,312
909,202
910,21
911,280
912,23
913,259
914,287
915,283
916,227
917,156
918,161
919,190
920,284
921,179
922,84
923,232
924,311
925,267
926,268
927,279
928,63
929,260
930,123
931,96
932,136
933,224
934,310
935,315
936,118
937,382
938,294
939,273
940,74
941,304
942,223
943,321
944,109
945,150
946,163
947,264
948,215
949,105
950,69
951,8
952,57
953,220
954,209
955,5
956,303
957,194
958,221
959,62
960,141
961,100
962,270
963,313
964,276
965,61
966,226
967,94
968,228
969,113
970,149
971,183
972,65
973,219
974,24
975,111
976,73
977,22
978,83
979,263
980,210
981,157
982,29
983,45
984,265
985,3
986,67
987,148
988,135
989,28
990,229
991,222
992,184
993,208
994,103
995,80
996,66
997,77
998,87
999,121
1000,114
1001,34
1002,71
1003,98
1004,104
1005,60
1006,15
1007,225
1008,99
1009,97
1010,70
1011,108
1012,2
1013,49
1014,55
1015,17
1016,91
1017,110
1018,7
1019,82
1020,86
1021,46
1022,25
1023,90
1024,26
1025,38
1026,30
1027,11
1028,20
1029,52
1030,16
1031,36
1032,0
1033,4
