,0
0,543
1,417
2,596
3,487
4,786
5,511
6,765
7,125
8,550
9,620
10,245
11,477
12,773
13,607
14,260
15,7
16,708
17,63
18,759
19,588
20,138
21,448
22,75
23,778
24,300
25,317
26,18
27,576
28,755
29,55
30,630
31,608
32,642
33,377
34,780
35,524
36,363
37,131
38,187
39,691
40,771
41,152
42,163
43,455
44,747
45,675
46,179
47,71
48,68
49,557
50,19
51,263
52,497
53,789
54,120
55,698
56,347
57,247
58,683
59,72
60,548
61,440
62,53
63,598
64,94
65,255
66,636
67,516
68,798
69,289
70,264
71,428
72,413
73,768
74,324
75,76
76,525
77,654
78,573
79,622
80,200
81,679
82,633
83,433
84,680
85,724
86,26
87,564
88,787
89,568
90,0
91,489
92,788
93,722
94,587
95,767
96,82
97,774
98,549
99,286
100,169
101,201
102,73
103,393
104,662
105,688
106,782
107,494
108,32
109,639
110,193
111,527
112,198
113,387
114,167
115,720
116,95
117,540
118,442
119,411
120,379
121,458
122,451
123,186
124,49
125,306
126,292
127,64
128,121
129,631
130,191
131,474
132,230
133,146
134,294
135,753
136,539
137,703
138,224
139,671
140,710
141,113
142,418
143,33
144,208
145,704
146,531
147,488
148,254
149,237
150,699
151,606
152,13
153,791
154,142
155,439
156,155
157,410
158,27
159,461
160,646
161,252
162,650
163,48
164,139
165,492
166,321
167,364
168,8
169,715
170,684
171,658
172,554
173,624
174,783
175,473
176,1
177,181
178,397
179,175
180,212
181,422
182,40
183,711
184,145
185,757
186,65
187,735
188,22
189,249
190,24
191,555
192,504
193,87
194,88
195,6
196,743
197,693
198,207
199,383
200,457
201,288
202,599
203,132
204,102
205,273
206,276
207,664
208,651
209,329
210,360
211,663
212,659
213,775
214,668
215,164
216,129
217,272
218,761
219,733
220,666
221,310
222,681
223,744
224,315
225,257
226,632
227,153
228,690
229,151
230,707
231,79
232,614
233,721
234,647
235,409
236,361
237,122
238,4
239,796
240,143
241,342
242,420
243,37
244,318
245,232
246,406
247,456
248,144
249,426
250,157
251,370
252,149
253,500
254,136
255,20
256,12
257,58
258,261
259,578
260,109
261,211
262,190
263,262
264,42
265,396
266,81
267,31
268,376
269,335
270,274
271,751
272,165
273,91
274,466
275,446
276,277
277,450
278,11
279,268
280,352
281,611
282,677
283,436
284,528
285,414
286,38
287,779
288,572
289,108
290,645
291,221
292,105
293,538
294,437
295,567
296,57
297,5
298,16
299,545
300,353
301,301
302,171
303,154
304,92
305,600
306,544
307,222
308,218
309,581
310,341
311,41
312,115
313,719
314,338
315,239
316,343
317,220
318,96
319,319
320,463
321,141
322,728
323,449
324,250
325,355
326,730
327,513
328,615
329,219
330,112
331,689
332,793
333,161
334,311
335,243
336,54
337,536
338,797
339,764
340,718
341,251
342,45
343,298
344,44
345,435
346,657
347,509
348,14
349,345
350,147
351,628
352,673
353,61
354,694
355,176
356,506
357,36
358,392
359,280
360,595
361,794
362,93
363,233
364,772
365,173
366,565
367,593
368,69
369,332
370,331
371,402
372,415
373,359
374,530
375,427
376,50
377,304
378,498
379,508
380,467
381,551
382,172
383,371
384,225
385,501
386,505
387,270
388,266
389,135
390,168
391,591
392,438
393,589
394,29
395,468
396,760
397,70
398,416
399,407
400,781
401,394
402,196
403,399
404,429
405,750
406,507
407,217
408,226
409,126
410,259
411,713
412,60
413,552
414,795
415,378
416,128
417,769
418,470
419,452
420,754
421,209
422,240
423,702
424,519
425,366
426,375
427,627
428,215
429,43
430,197
431,496
432,491
433,609
434,667
435,127
436,348
437,621
438,741
439,367
440,84
441,705
442,23
443,542
444,78
445,503
446,739
447,430
448,580
449,35
450,235
451,655
452,380
453,46
454,248
455,563
456,447
457,244
458,283
459,731
460,118
461,189
462,502
463,556
464,336
465,425
466,62
467,479
468,612
469,481
470,391
471,178
472,526
473,182
474,676
475,303
476,323
477,80
478,672
479,365
480,570
481,725
482,389
483,462
484,687
485,313
486,302
487,160
488,790
489,374
490,296
491,308
492,203
493,638
494,10
495,480
496,660
497,740
498,59
499,238
500,547
501,523
502,716
503,561
504,412
505,432
506,316
507,21
508,282
509,30
510,490
511,454
512,459
513,278
514,242
515,51
516,495
517,381
518,395
519,258
520,17
521,39
522,559
523,351
524,604
525,344
526,400
527,194
528,333
529,605
530,156
531,265
532,464
533,9
534,714
535,732
536,522
537,137
538,499
539,617
540,123
541,236
542,256
543,483
544,358
545,518
546,749
547,742
548,408
549,590
550,585
551,431
552,706
553,326
554,253
555,486
556,558
557,762
558,104
559,390
560,723
561,533
562,356
563,204
564,174
565,485
566,246
567,784
568,745
569,325
570,592
571,738
572,216
573,421
574,199
575,423
576,405
577,419
578,712
579,756
580,386
581,482
582,534
583,476
584,635
585,434
586,512
587,586
588,493
589,34
590,510
591,297
592,116
593,401
594,686
595,328
596,119
597,613
598,77
599,385
600,158
601,562
602,47
603,603
604,368
605,541
606,799
607,602
608,99
609,83
610,202
611,66
612,229
613,85
614,103
615,594
616,610
617,285
618,382
619,148
620,424
621,443
622,625
623,763
624,682
625,398
626,210
627,520
628,515
629,133
630,307
631,465
632,279
633,227
634,284
635,537
636,472
637,674
638,314
639,597
640,228
641,271
642,373
643,134
644,98
645,388
646,293
647,106
648,478
649,205
650,404
651,90
652,28
653,737
654,692
655,372
656,110
657,616
658,281
659,584
660,734
661,670
662,330
663,100
664,369
665,166
666,695
667,67
668,114
669,3
670,445
671,469
672,521
673,162
674,188
675,661
676,623
677,15
678,195
679,729
680,453
681,213
682,441
683,223
684,535
685,117
686,267
687,560
688,514
689,354
690,231
691,685
692,460
693,357
694,748
695,643
696,337
697,653
698,101
699,701
700,569
701,150
702,770
703,322
704,214
705,130
706,192
707,776
708,577
709,97
710,403
711,517
712,444
713,785
714,74
715,746
716,241
717,583
718,140
719,619
720,350
721,56
722,299
723,309
724,656
725,89
726,471
727,575
728,678
729,185
730,124
731,206
732,334
733,234
734,340
735,641
736,111
737,649
738,177
739,346
740,52
741,312
742,579
743,736
744,86
745,269
746,180
747,170
748,709
749,25
750,637
751,532
752,384
753,665
754,362
755,571
756,669
757,792
758,107
759,484
760,291
761,634
762,618
763,305
764,640
765,648
766,339
767,295
768,697
769,566
770,766
771,159
772,582
773,601
774,644
775,652
776,553
777,475
778,275
779,349
780,546
781,184
782,290
783,726
784,320
785,183
786,529
787,700
788,727
789,752
790,758
791,287
792,327
793,696
794,717
795,2
796,574
797,629
798,777
799,626
